Entry,Method,PDB_ID,Residues_Covered,Chain
P62487,Electron Microscopy,5IY9,1-172,Z
P62487,Electron Microscopy,5IYA,1-172,G
P62487,Electron Microscopy,5IYB,1-172,G
P62487,Electron Microscopy,5IYC,1-172,G
P62487,Electron Microscopy,5IYD,1-172,Z
P62487,Electron Microscopy,6DRD,1-172,G
P62487,Electron Microscopy,6O9L,1-172,G
P82979,Solution NMR,2DO1,5-47,A
Q9BVN2,X-ray diffraction,4GIW,477-666,"A, B"
Q2Y0W8,X-ray diffraction,5JHO,54-397,"A, B"
P82664,Electron Microscopy,3J9M,1-201,AH
P82664,Electron Microscopy,6NU2,61-182,AH
P82664,Electron Microscopy,6NU3,1-201,AH
P19793,X-ray diffraction,1BY4,128-209,"A, B, C, D"
P19793,X-ray diffraction,1DSZ,129-212,B
P19793,X-ray diffraction,1FBY,224-462,"A, B"
P19793,X-ray diffraction,1FM6,225-462,"A, U"
P19793,X-ray diffraction,1FM9,225-462,A
P19793,X-ray diffraction,1G1U,225-462,"A, B, C, D"
P19793,X-ray diffraction,1G5Y,225-462,"A, B, C, D"
P19793,X-ray diffraction,1K74,225-462,A
P19793,X-ray diffraction,1MV9,223-462,A
P19793,X-ray diffraction,1MVC,223-462,A
P19793,X-ray diffraction,1MZN,223-462,"A, C, E, G"
P19793,X-ray diffraction,1R0N,130-206,A
P19793,X-ray diffraction,1RDT,225-462,A
P19793,Solution NMR,1RXR,130-212,A
P19793,X-ray diffraction,1XLS,227-458,"A, B, C, D"
P19793,X-ray diffraction,1XV9,227-462,"A, C"
P19793,X-ray diffraction,1XVP,227-462,"A, C"
P19793,X-ray diffraction,1YNW,130-228,B
P19793,X-ray diffraction,2ACL,225-462,"A, C, E, G"
P19793,X-ray diffraction,2NLL,135-200,A
P19793,X-ray diffraction,2P1T,223-462,A
P19793,X-ray diffraction,2P1U,223-462,A
P19793,X-ray diffraction,2P1V,223-462,A
P19793,X-ray diffraction,2ZXZ,223-462,A
P19793,X-ray diffraction,2ZY0,223-462,"A, C"
P19793,X-ray diffraction,3DZU,11-462,A
P19793,X-ray diffraction,3DZY,11-462,A
P19793,X-ray diffraction,3E00,11-462,A
P19793,X-ray diffraction,3E94,223-462,A
P19793,X-ray diffraction,3FAL,225-462,"A, C"
P19793,X-ray diffraction,3FC6,225-462,"A, C"
P19793,X-ray diffraction,3FUG,223-462,A
P19793,X-ray diffraction,3H0A,228-455,A
P19793,X-ray diffraction,3KWY,223-462,A
P19793,X-ray diffraction,3NSP,223-462,"A, B"
P19793,X-ray diffraction,3NSQ,223-462,"A, B"
P19793,X-ray diffraction,3OAP,228-458,A
P19793,X-ray diffraction,3OZJ,225-462,"A, C"
P19793,X-ray diffraction,3PCU,229-458,A
P19793,X-ray diffraction,3R29,223-462,"A, B"
P19793,X-ray diffraction,3R2A,223-462,"A, B, C, D"
P19793,X-ray diffraction,3R5M,223-462,"A, C"
P19793,X-ray diffraction,3UVV,225-462,B
P19793,X-ray diffraction,4CN2,130-212,"C, D"
P19793,X-ray diffraction,4CN3,130-212;130-212,D
P19793,X-ray diffraction,4CN5,130-212,"A, B"
P19793,X-ray diffraction,4CN7,130-212,"A, B, E, F"
P19793,X-ray diffraction,4J5W,227-462,"C, D"
P19793,X-ray diffraction,4J5X,227-462,"C, D"
P19793,X-ray diffraction,4K4J,228-458,A
P19793,X-ray diffraction,4K6I,228-458,A
P19793,X-ray diffraction,4M8E,228-458,A
P19793,X-ray diffraction,4M8H,228-458,A
P19793,X-ray diffraction,4N5G,223-462,"A, B, C, D"
P19793,X-ray diffraction,4N8R,223-462,"A, B, C, D"
P19793,X-ray diffraction,4NQA,98-462,"A, H"
P19793,X-ray diffraction,4OC7,223-462,A
P19793,X-ray diffraction,4POH,228-458,A
P19793,X-ray diffraction,4POJ,228-458,A
P19793,X-ray diffraction,4PP3,228-458,A
P19793,X-ray diffraction,4PP5,228-458,A
P19793,X-ray diffraction,4RFW,228-458,A
P19793,X-ray diffraction,4RMC,228-458,A
P19793,X-ray diffraction,4RMD,228-462,A
P19793,X-ray diffraction,4RME,228-462,A
P19793,X-ray diffraction,4ZO1,231-455,B
P19793,X-ray diffraction,4ZSH,223-462,A
P19793,X-ray diffraction,5EC9,229-456,A
P19793,X-ray diffraction,5JI0,223-462,A
P19793,X-ray diffraction,5LYQ,223-462,A
P19793,X-ray diffraction,5MJ5,229-457,A
P19793,X-ray diffraction,5MK4,229-457,"A, C"
P19793,X-ray diffraction,5MKJ,229-458,A
P19793,X-ray diffraction,5MKU,229-456,A
P19793,X-ray diffraction,5MMW,229-457,A
P19793,X-ray diffraction,5TBP,223-462,"A, B, C, D"
P19793,X-ray diffraction,5UAN,98-462,A
P19793,X-ray diffraction,5Z12,228-458,"B, C"
P19793,X-ray diffraction,5ZQU,224-462,"A, B, C, D"
P19793,X-ray diffraction,6A5Y,225-462,D
P19793,X-ray diffraction,6A5Z,225-462,"D, L"
P19793,X-ray diffraction,6A60,225-462,D
P19793,X-ray diffraction,6FBQ,130-212,"A, B"
P19793,X-ray diffraction,6FBR,130-212,"A, B"
P19793,X-ray diffraction,6HN6,201-462,A
P19793,X-ray diffraction,6JNO,224-462,"A, B, C, D"
P19793,X-ray diffraction,6SJM,229-456,A
P19793,X-ray diffraction,6STI,223-462,A
Q8IXJ6,X-ray diffraction,1J8F,34-356,"A, B, C"
Q8IXJ6,X-ray diffraction,3ZGO,34-356,"A, B, C"
Q8IXJ6,X-ray diffraction,3ZGV,34-356,"A, B"
Q8IXJ6,X-ray diffraction,4L3O,55-356,"A, B, C, D"
Q8IXJ6,X-ray diffraction,4R8M,38-356,"A, B"
Q8IXJ6,X-ray diffraction,4RMG,56-356,A
Q8IXJ6,X-ray diffraction,4RMH,56-356,A
Q8IXJ6,X-ray diffraction,4RMI,56-356,A
Q8IXJ6,X-ray diffraction,4RMJ,56-356,"A, B"
Q8IXJ6,X-ray diffraction,4X3O,52-355,A
Q8IXJ6,X-ray diffraction,4X3P,52-355,A
Q8IXJ6,X-ray diffraction,4Y6L,52-356,"A, B"
Q8IXJ6,X-ray diffraction,4Y6O,52-356,"A, B"
Q8IXJ6,X-ray diffraction,4Y6Q,52-356,"A, B, C, D"
Q8IXJ6,X-ray diffraction,5D7O,50-356,"A, B"
Q8IXJ6,X-ray diffraction,5D7P,56-356,"A, B"
Q8IXJ6,X-ray diffraction,5D7Q,56-356,"A, B"
Q8IXJ6,X-ray diffraction,5DY4,56-356,A
Q8IXJ6,X-ray diffraction,5DY5,56-356,A
Q8IXJ6,X-ray diffraction,5FYQ,1-356,"A, B"
Q8IXJ6,X-ray diffraction,5G4C,34-356,"A, B"
Q8IXJ6,X-ray diffraction,5MAR,56-356,"A, B"
Q8IXJ6,X-ray diffraction,5MAT,56-356,"A, C"
Q8IXJ6,X-ray diffraction,5Y0Z,52-356,"A, B"
Q8IXJ6,X-ray diffraction,5Y5N,32-308;309-356,A
Q8IXJ6,X-ray diffraction,5YQL,56-356,A
Q8IXJ6,X-ray diffraction,5YQM,56-356,A
Q8IXJ6,X-ray diffraction,5YQN,56-356,A
Q8IXJ6,X-ray diffraction,5YQO,56-356,A
Q8IXJ6,X-ray diffraction,6NR0,38-356,"A, B"
Q8IXJ6,X-ray diffraction,6QCN,55-356,"A, B"
O95259,X-ray diffraction,5J7E,1-146,"A, B, C, D, E, F"
P48050,X-ray diffraction,3GJ9,436-445,"C, D"
O95970,X-ray diffraction,5Y2Z,224-557,"B, D, F, H, J, L"
O95970,X-ray diffraction,5Y30,37-223,A
O95970,X-ray diffraction,5Y31,37-557,"B, D"
Q8ND56,X-ray diffraction,6F9W,1-84,A
P61626,X-ray diffraction,133L,19-148,A
P61626,X-ray diffraction,134L,19-148,A
P61626,X-ray diffraction,1B5U,19-148,A
P61626,X-ray diffraction,1B5V,19-148,A
P61626,X-ray diffraction,1B5W,19-148,A
P61626,X-ray diffraction,1B5X,19-148,A
P61626,X-ray diffraction,1B5Y,19-148,A
P61626,X-ray diffraction,1B5Z,19-148,"A, B"
P61626,X-ray diffraction,1B7L,19-148,A
P61626,X-ray diffraction,1B7M,19-148,A
P61626,X-ray diffraction,1B7N,19-148,A
P61626,X-ray diffraction,1B7O,19-148,A
P61626,X-ray diffraction,1B7P,19-148,A
P61626,X-ray diffraction,1B7Q,19-148,A
P61626,X-ray diffraction,1B7R,19-148,A
P61626,X-ray diffraction,1B7S,19-148,A
P61626,X-ray diffraction,1BB3,19-148,"A, B"
P61626,X-ray diffraction,1BB4,19-148,"A, B"
P61626,X-ray diffraction,1BB5,19-148,"A, B"
P61626,X-ray diffraction,1C43,20-148,A
P61626,X-ray diffraction,1C45,20-148,A
P61626,X-ray diffraction,1C46,19-148,A
P61626,X-ray diffraction,1C7P,15-148,A
P61626,X-ray diffraction,1CJ6,19-148,A
P61626,X-ray diffraction,1CJ7,19-148,A
P61626,X-ray diffraction,1CJ8,19-148,A
P61626,X-ray diffraction,1CJ9,19-148,A
P61626,X-ray diffraction,1CKC,19-148,A
P61626,X-ray diffraction,1CKD,19-148,A
P61626,X-ray diffraction,1CKF,19-148,A
P61626,X-ray diffraction,1CKG,19-148,"A, B"
P61626,X-ray diffraction,1CKH,19-148,A
P61626,X-ray diffraction,1D6P,19-148,A
P61626,X-ray diffraction,1D6Q,19-148,A
P61626,X-ray diffraction,1DI3,19-148,A
P61626,X-ray diffraction,1DI4,19-148,A
P61626,X-ray diffraction,1DI5,19-148,A
P61626,X-ray diffraction,1EQ4,19-148,A
P61626,X-ray diffraction,1EQ5,19-148,A
P61626,X-ray diffraction,1EQE,19-148,A
P61626,X-ray diffraction,1GAY,19-148,A
P61626,X-ray diffraction,1GAZ,19-148,A
P61626,X-ray diffraction,1GB0,19-148,A
P61626,X-ray diffraction,1GB2,19-148,A
P61626,X-ray diffraction,1GB3,19-148,A
P61626,X-ray diffraction,1GB5,19-148,A
P61626,X-ray diffraction,1GB6,19-148,A
P61626,X-ray diffraction,1GB7,19-148,A
P61626,X-ray diffraction,1GB8,19-148,A
P61626,X-ray diffraction,1GB9,19-148,A
P61626,X-ray diffraction,1GBO,19-148,A
P61626,X-ray diffraction,1GBW,19-148,A
P61626,X-ray diffraction,1GBX,19-148,A
P61626,X-ray diffraction,1GBY,19-148,A
P61626,X-ray diffraction,1GBZ,19-148,A
P61626,X-ray diffraction,1GDW,19-148,A
P61626,X-ray diffraction,1GDX,19-148,A
P61626,X-ray diffraction,1GE0,19-148,A
P61626,X-ray diffraction,1GE1,19-148,A
P61626,X-ray diffraction,1GE2,19-148,A
P61626,X-ray diffraction,1GE3,19-148,A
P61626,X-ray diffraction,1GE4,19-148,A
P61626,X-ray diffraction,1GEV,19-148,A
P61626,X-ray diffraction,1GEZ,19-148,A
P61626,X-ray diffraction,1GF0,19-148,A
P61626,X-ray diffraction,1GF3,19-148,A
P61626,X-ray diffraction,1GF4,19-148,A
P61626,X-ray diffraction,1GF5,19-148,A
P61626,X-ray diffraction,1GF6,19-148,A
P61626,X-ray diffraction,1GF7,19-148,A
P61626,X-ray diffraction,1GF8,19-148,A
P61626,X-ray diffraction,1GF9,19-148,A
P61626,X-ray diffraction,1GFA,19-148,A
P61626,X-ray diffraction,1GFE,19-148,A
P61626,X-ray diffraction,1GFG,19-148,A
P61626,X-ray diffraction,1GFH,19-148,A
P61626,X-ray diffraction,1GFJ,19-148,A
P61626,X-ray diffraction,1GFK,19-148,A
P61626,X-ray diffraction,1GFR,19-148,A
P61626,X-ray diffraction,1GFT,19-148,A
P61626,X-ray diffraction,1GFU,19-148,A
P61626,X-ray diffraction,1GFV,19-148,A
P61626,X-ray diffraction,1HNL,19-148,A
P61626,X-ray diffraction,1I1Z,19-148,A
P61626,X-ray diffraction,1I20,19-148,A
P61626,X-ray diffraction,1I22,19-148,"A, B, C, D"
P61626,X-ray diffraction,1INU,19-148,A
P61626,X-ray diffraction,1IOC,19-148,A
P61626,X-ray diffraction,1IP1,19-148,A
P61626,X-ray diffraction,1IP2,19-148,A
P61626,X-ray diffraction,1IP3,19-148,"A, B"
P61626,X-ray diffraction,1IP4,19-148,A
P61626,X-ray diffraction,1IP5,19-148,A
P61626,X-ray diffraction,1IP6,19-148,A
P61626,X-ray diffraction,1IP7,19-148,"A, B"
P61626,X-ray diffraction,1IWT,19-148,A
P61626,X-ray diffraction,1IWU,19-148,A
P61626,X-ray diffraction,1IWV,19-148,A
P61626,X-ray diffraction,1IWW,19-148,A
P61626,X-ray diffraction,1IWX,19-148,A
P61626,X-ray diffraction,1IWY,19-148,A
P61626,X-ray diffraction,1IWZ,19-148,A
P61626,X-ray diffraction,1IX0,19-148,A
P61626,Solution NMR,1IY3,19-148,A
P61626,Solution NMR,1IY4,19-148,A
P61626,X-ray diffraction,1JKA,19-148,A
P61626,X-ray diffraction,1JKB,19-148,A
P61626,X-ray diffraction,1JKC,19-148,A
P61626,X-ray diffraction,1JKD,19-148,A
P61626,X-ray diffraction,1JSF,19-148,A
P61626,X-ray diffraction,1JWR,19-148,A
P61626,X-ray diffraction,1LAA,19-148,A
P61626,X-ray diffraction,1LHH,19-148,A
P61626,X-ray diffraction,1LHI,19-148,A
P61626,X-ray diffraction,1LHJ,19-148,A
P61626,X-ray diffraction,1LHK,19-148,A
P61626,X-ray diffraction,1LHL,19-148,A
P61626,X-ray diffraction,1LHM,19-148,A
P61626,X-ray diffraction,1LMT,19-92;93-148,A
P61626,X-ray diffraction,1LOZ,19-148,A
P61626,X-ray diffraction,1LYY,19-148,A
P61626,X-ray diffraction,1LZ1,19-148,A
P61626,X-ray diffraction,1LZ4,19-148,A
P61626,X-ray diffraction,1LZ5,19-92;93-148,A
P61626,X-ray diffraction,1LZ6,19-92;93-148,A
P61626,X-ray diffraction,1LZR,19-148,A
P61626,X-ray diffraction,1LZS,19-148,"A, B"
P61626,X-ray diffraction,1OP9,19-148,B
P61626,X-ray diffraction,1OUA,19-148,A
P61626,X-ray diffraction,1OUB,19-148,A
P61626,X-ray diffraction,1OUC,19-148,A
P61626,X-ray diffraction,1OUD,19-148,A
P61626,X-ray diffraction,1OUE,19-148,A
P61626,X-ray diffraction,1OUF,19-147,A
P61626,X-ray diffraction,1OUG,19-148,A
P61626,X-ray diffraction,1OUH,19-148,A
P61626,X-ray diffraction,1OUI,19-148,A
P61626,X-ray diffraction,1OUJ,19-148,A
P61626,X-ray diffraction,1QSW,19-148,"A, B, C, D"
P61626,X-ray diffraction,1RE2,19-148,A
P61626,X-ray diffraction,1REM,19-148,A
P61626,X-ray diffraction,1REX,19-148,A
P61626,X-ray diffraction,1REY,19-148,A
P61626,X-ray diffraction,1REZ,19-148,A
P61626,X-ray diffraction,1TAY,19-148,A
P61626,X-ray diffraction,1TBY,19-148,A
P61626,X-ray diffraction,1TCY,19-148,A
P61626,X-ray diffraction,1TDY,19-148,A
P61626,X-ray diffraction,1UBZ,19-148,A
P61626,X-ray diffraction,1W08,19-148,A
P61626,X-ray diffraction,1WQM,19-148,A
P61626,X-ray diffraction,1WQN,19-148,A
P61626,X-ray diffraction,1WQO,19-148,A
P61626,X-ray diffraction,1WQP,19-148,A
P61626,X-ray diffraction,1WQQ,19-148,A
P61626,X-ray diffraction,1WQR,19-148,A
P61626,X-ray diffraction,1YAM,19-148,A
P61626,X-ray diffraction,1YAN,19-148,A
P61626,X-ray diffraction,1YAO,19-148,A
P61626,X-ray diffraction,1YAP,19-148,A
P61626,X-ray diffraction,1YAQ,19-148,A
P61626,X-ray diffraction,207L,19-148,A
P61626,X-ray diffraction,208L,19-148,A
P61626,X-ray diffraction,2BQA,19-148,A
P61626,X-ray diffraction,2BQB,19-148,A
P61626,X-ray diffraction,2BQC,19-148,A
P61626,X-ray diffraction,2BQD,19-148,A
P61626,X-ray diffraction,2BQE,19-148,A
P61626,X-ray diffraction,2BQF,19-148,A
P61626,X-ray diffraction,2BQG,19-148,A
P61626,X-ray diffraction,2BQH,19-148,A
P61626,X-ray diffraction,2BQI,19-148,A
P61626,X-ray diffraction,2BQJ,19-148,A
P61626,X-ray diffraction,2BQK,19-147,A
P61626,X-ray diffraction,2BQL,19-148,A
P61626,X-ray diffraction,2BQM,19-148,A
P61626,X-ray diffraction,2BQN,19-148,A
P61626,X-ray diffraction,2BQO,19-148,A
P61626,X-ray diffraction,2HEA,19-148,A
P61626,X-ray diffraction,2HEB,19-148,A
P61626,X-ray diffraction,2HEC,19-148,A
P61626,X-ray diffraction,2HED,19-148,A
P61626,X-ray diffraction,2HEE,19-148,A
P61626,X-ray diffraction,2HEF,19-148,A
P61626,X-ray diffraction,2LHM,19-148,A
P61626,X-ray diffraction,2MEA,19-148,"A, B"
P61626,X-ray diffraction,2MEB,19-148,A
P61626,X-ray diffraction,2MEC,19-148,"A, B"
P61626,X-ray diffraction,2MED,19-148,A
P61626,X-ray diffraction,2MEE,19-148,A
P61626,X-ray diffraction,2MEF,19-148,A
P61626,X-ray diffraction,2MEG,19-148,A
P61626,X-ray diffraction,2MEH,19-148,A
P61626,X-ray diffraction,2MEI,19-148,A
P61626,X-ray diffraction,2NWD,19-148,X
P61626,X-ray diffraction,2ZIJ,19-148,A
P61626,X-ray diffraction,2ZIK,19-148,A
P61626,X-ray diffraction,2ZIL,19-148,A
P61626,Neutron Diffraction,2ZWB,19-148,A
P61626,X-ray diffraction,3EBA,19-148,B
P61626,X-ray diffraction,3FE0,19-148,A
P61626,X-ray diffraction,3LHM,19-148,A
P61626,X-ray diffraction,3LN2,19-148,"A, B"
P61626,X-ray diffraction,4I0C,19-148,"A, B"
P61626,X-ray diffraction,4ML7,19-148,"A, C"
P61626,X-ray diffraction,4R0P,74-79,A
P61626,X-ray diffraction,5LSH,19-148,A
P61626,X-ray diffraction,5LVK,19-148,"A, B"
P33241,X-ray diffraction,3BH8,249-258,C
P33241,X-ray diffraction,4NO0,249-260,C
P33241,X-ray diffraction,4NO2,249-260,C
Q8IVH8,X-ray diffraction,5J5T,13-380,A
P20700,Solution NMR,2KPW,439-549,A
P20700,X-ray diffraction,3JT0,426-558,"A, B"
P20700,X-ray diffraction,3TYY,311-388,"A, B"
P20700,X-ray diffraction,3UMN,428-550,"A, B, C"
P20700,X-ray diffraction,5VVX,389-401,"B, D"
Q86UL8,Solution NMR,1UEP,774-863,A
Q86UL8,Solution NMR,1UEQ,412-522,A
Q86UL8,Solution NMR,1UEW,915-1015,A
Q86UL8,Solution NMR,1UJV,599-682,A
Q86UL8,Solution NMR,1WFV,1141-1230,A
Q8N448,X-ray diffraction,2VWR,336-425,A
Q8N448,X-ray diffraction,5DIN,20-147,"A, B"
Q8N448,X-ray diffraction,5E11,336-425,A
Q8N448,X-ray diffraction,5E1Y,336-425,A
Q8N448,X-ray diffraction,5E21,336-425,A
Q8N448,X-ray diffraction,5E22,336-425,"A, B"
Q9BV79,X-ray diffraction,1ZSY,40-373,A
Q9BV79,X-ray diffraction,2VCY,31-373,"A, B"
Q8N4P3,X-ray diffraction,3NR1,2-179,"A, B"
Q8N4P3,X-ray diffraction,5VXA,1-179,"A, B"
Q9HCE5,X-ray diffraction,5IL0,109-408,B
Q9HCE5,X-ray diffraction,5IL1,109-408,B
Q9HCE5,X-ray diffraction,5IL2,109-408,B
Q9HCE5,X-ray diffraction,5K7M,111-456,B
Q9HCE5,X-ray diffraction,5K7U,111-456,B
Q9HCE5,X-ray diffraction,5K7W,111-456,B
Q9HCE5,X-ray diffraction,5L6D,107-395,B
Q9HCE5,X-ray diffraction,5L6E,107-395,B
Q9HCE5,X-ray diffraction,5TEY,1-399,B
O60307,Solution NMR,1V9V,181-281,A
O60307,X-ray diffraction,3KHF,948-1040,"A, B"
Q15648,X-ray diffraction,1RJK,640-652,C
Q15648,X-ray diffraction,1RK3,640-652,C
Q15648,X-ray diffraction,1RKG,640-652,C
Q15648,X-ray diffraction,1RKH,640-652,C
Q15648,X-ray diffraction,2O4J,640-652,C
Q15648,X-ray diffraction,2O4R,640-652,C
Q15648,X-ray diffraction,2ZFX,640-652,C
Q15648,X-ray diffraction,3A2H,640-652,B
Q15648,X-ray diffraction,3AUN,640-652,B
Q15648,X-ray diffraction,3VJS,640-652,C
Q15648,X-ray diffraction,3VJT,640-652,C
Q15648,X-ray diffraction,3VRT,640-652,C
Q15648,X-ray diffraction,3VRU,640-652,C
Q15648,X-ray diffraction,3VRV,640-652,C
Q15648,X-ray diffraction,3VRW,640-652,C
Q15648,X-ray diffraction,3W0G,640-652,C
Q15648,X-ray diffraction,3W0H,640-652,C
Q15648,X-ray diffraction,3W0I,640-652,C
Q15648,X-ray diffraction,3W0J,640-652,C
Q15648,X-ray diffraction,3W5P,640-652,C
Q15648,X-ray diffraction,3W5Q,640-652,C
Q15648,X-ray diffraction,3W5R,640-652,C
Q15648,X-ray diffraction,3W5T,640-652,C
Q15648,X-ray diffraction,3WT5,640-652,C
Q15648,X-ray diffraction,3WT6,640-652,C
Q15648,X-ray diffraction,3WT7,640-652,C
Q15648,X-ray diffraction,3WTQ,640-652,C
Q15648,X-ray diffraction,4YNK,640-652,C
Q15648,X-ray diffraction,5AWJ,640-652,C
Q15648,X-ray diffraction,5AWK,640-652,C
Q15648,X-ray diffraction,5B41,640-652,C
Q15648,X-ray diffraction,5B5B,640-652,"C, F"
Q15648,X-ray diffraction,5GIC,641-650,C
Q15648,X-ray diffraction,5GID,641-649,C
Q15648,X-ray diffraction,5GIE,641-650,"C, E"
Q15648,X-ray diffraction,5XPM,640-652,C
Q15648,X-ray diffraction,5XPN,640-652,C
Q15648,X-ray diffraction,5XPO,640-652,C
Q15648,X-ray diffraction,5XPP,640-652,C
Q15648,X-ray diffraction,5XUQ,640-652,C
Q15648,X-ray diffraction,5XZF,640-652,C
Q15648,X-ray diffraction,5XZH,640-652,C
Q15648,X-ray diffraction,5ZWE,640-652,C
Q15648,X-ray diffraction,5ZWF,640-652,C
Q15648,X-ray diffraction,5ZWH,640-652,C
Q15648,X-ray diffraction,5ZWI,640-652,C
Q15648,X-ray diffraction,6D94,632-655,B
Q15648,X-ray diffraction,6K5O,640-652,C
P53779,X-ray diffraction,1JNK,1-423,A
P53779,X-ray diffraction,1PMN,40-401,A
P53779,X-ray diffraction,1PMU,40-401,A
P53779,X-ray diffraction,1PMV,40-401,A
P53779,X-ray diffraction,2B1P,46-400,A
P53779,X-ray diffraction,2EXC,45-400,X
P53779,X-ray diffraction,2O0U,39-402,A
P53779,X-ray diffraction,2O2U,39-402,A
P53779,X-ray diffraction,2OK1,40-402,A
P53779,X-ray diffraction,2P33,40-402,A
P53779,X-ray diffraction,2R9S,46-401,"A, B"
P53779,X-ray diffraction,2WAJ,39-402,A
P53779,X-ray diffraction,2ZDT,39-402,A
P53779,X-ray diffraction,2ZDU,39-402,A
P53779,X-ray diffraction,3CGF,40-402,A
P53779,X-ray diffraction,3CGO,40-402,A
P53779,X-ray diffraction,3DA6,39-402,A
P53779,X-ray diffraction,3FI2,39-402,A
P53779,X-ray diffraction,3FI3,39-402,A
P53779,X-ray diffraction,3FV8,39-402,A
P53779,X-ray diffraction,3G90,40-402,X
P53779,X-ray diffraction,3G9L,40-402,X
P53779,X-ray diffraction,3G9N,40-402,A
P53779,X-ray diffraction,3KVX,39-402,A
P53779,X-ray diffraction,3OXI,40-401,A
P53779,X-ray diffraction,3OY1,40-401,A
P53779,X-ray diffraction,3PTG,40-401,A
P53779,X-ray diffraction,3RTP,40-401,A
P53779,X-ray diffraction,3TTI,1-464,A
P53779,X-ray diffraction,3TTJ,1-464,A
P53779,X-ray diffraction,3V6R,39-402,"A, B"
P53779,X-ray diffraction,3V6S,39-402,"A, B"
P53779,X-ray diffraction,4H36,45-400,A
P53779,X-ray diffraction,4H39,45-400,A
P53779,X-ray diffraction,4H3B,45-400,"A, C"
P53779,X-ray diffraction,4KKE,40-402,A
P53779,X-ray diffraction,4KKG,40-402,A
P53779,X-ray diffraction,4KKH,40-402,A
P53779,X-ray diffraction,4U79,39-402,A
P53779,X-ray diffraction,4W4V,39-402,A
P53779,X-ray diffraction,4W4W,39-402,A
P53779,X-ray diffraction,4W4X,39-402,A
P53779,X-ray diffraction,4W4Y,39-402,A
P53779,X-ray diffraction,4WHZ,39-423,A
P53779,X-ray diffraction,4X21,39-402,"A, B"
P53779,X-ray diffraction,4Y46,39-402,A
P53779,X-ray diffraction,4Y5H,39-402,A
P53779,X-ray diffraction,4Z9L,40-401,A
P53779,X-ray diffraction,6EKD,39-402,A
P53779,X-ray diffraction,6EMH,39-402,"A, B, C, D"
P53779,X-ray diffraction,6EQ9,39-402,"A, B"
Q16539,X-ray diffraction,1A9U,1-360,A
Q16539,X-ray diffraction,1BL6,1-360,A
Q16539,X-ray diffraction,1BL7,1-360,A
Q16539,X-ray diffraction,1BMK,1-360,A
Q16539,X-ray diffraction,1DI9,1-360,A
Q16539,X-ray diffraction,1IAN,2-360,A
Q16539,X-ray diffraction,1KV1,1-360,A
Q16539,X-ray diffraction,1KV2,1-360,A
Q16539,X-ray diffraction,1M7Q,1-360,A
Q16539,X-ray diffraction,1OUK,1-360,A
Q16539,X-ray diffraction,1OUY,1-360,A
Q16539,X-ray diffraction,1OVE,1-360,A
Q16539,X-ray diffraction,1OZ1,1-360,A
Q16539,X-ray diffraction,1R39,1-360,A
Q16539,X-ray diffraction,1R3C,1-360,A
Q16539,X-ray diffraction,1W7H,1-360,A
Q16539,X-ray diffraction,1W82,1-360,A
Q16539,X-ray diffraction,1W83,1-360,A
Q16539,X-ray diffraction,1W84,1-360,A
Q16539,X-ray diffraction,1WBN,1-360,A
Q16539,X-ray diffraction,1WBO,1-360,A
Q16539,X-ray diffraction,1WBS,1-360,A
Q16539,X-ray diffraction,1WBT,1-360,A
Q16539,X-ray diffraction,1WBV,1-360,A
Q16539,X-ray diffraction,1WBW,1-360,A
Q16539,X-ray diffraction,1WFC,1-360,A
Q16539,X-ray diffraction,1YQJ,2-360,A
Q16539,X-ray diffraction,1ZYJ,1-360,A
Q16539,X-ray diffraction,1ZZ2,1-360,A
Q16539,X-ray diffraction,1ZZL,4-354,A
Q16539,X-ray diffraction,2BAJ,2-360,A
Q16539,X-ray diffraction,2BAK,2-360,A
Q16539,X-ray diffraction,2BAL,2-360,A
Q16539,X-ray diffraction,2BAQ,2-360,A
Q16539,X-ray diffraction,2FSL,2-360,X
Q16539,X-ray diffraction,2FSM,2-360,X
Q16539,X-ray diffraction,2FSO,2-360,X
Q16539,X-ray diffraction,2FST,2-360,X
Q16539,X-ray diffraction,2GFS,2-360,A
Q16539,X-ray diffraction,2I0H,1-360,A
Q16539,Solution NMR,2LGC,2-354,A
Q16539,X-ray diffraction,2NPQ,2-360,A
Q16539,X-ray diffraction,2OKR,2-360,"A, D"
Q16539,X-ray diffraction,2ONL,2-360,"A, B"
Q16539,X-ray diffraction,2QD9,2-360,A
Q16539,X-ray diffraction,2RG5,2-360,A
Q16539,X-ray diffraction,2RG6,2-360,A
Q16539,X-ray diffraction,2Y8O,1-360,A
Q16539,X-ray diffraction,2YIS,2-360,A
Q16539,X-ray diffraction,2YIW,2-360,A
Q16539,X-ray diffraction,2YIX,4-354,A
Q16539,X-ray diffraction,2ZAZ,1-360,A
Q16539,X-ray diffraction,2ZB0,1-360,A
Q16539,X-ray diffraction,2ZB1,1-360,A
Q16539,X-ray diffraction,3BV2,2-360,A
Q16539,X-ray diffraction,3BV3,2-360,A
Q16539,X-ray diffraction,3BX5,2-360,A
Q16539,X-ray diffraction,3C5U,2-360,A
Q16539,X-ray diffraction,3CTQ,5-352,A
Q16539,X-ray diffraction,3D7Z,1-360,A
Q16539,X-ray diffraction,3D83,1-360,A
Q16539,X-ray diffraction,3DS6,1-360,"A, B, C, D"
Q16539,X-ray diffraction,3DT1,1-360,A
Q16539,X-ray diffraction,3E92,1-360,A
