From	Entry	Gene Ontology (molecular function)
P37303	P37303	L-allo-threonine aldolase activity [GO:0008732]; threonine aldolase activity [GO:0004793]
P37304	P37304	
P37366	P37366	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]
P37370	P37370	actin binding [GO:0003779]
P37838	P37838	identical protein binding [GO:0042802]; large ribosomal subunit rRNA binding [GO:0070180]; mRNA binding [GO:0003729]
P37898	P37898	aminopeptidase activity [GO:0004177]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]
P38009	P38009	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]
P38011	P38011	G-protein alpha-subunit binding [GO:0001965]; GDP-dissociation inhibitor activity [GO:0005092]; protein kinase C binding [GO:0005080]; ribosome binding [GO:0043022]; translation regulator activity [GO:0045182]
P38013	P38013	thioredoxin peroxidase activity [GO:0008379]
P38041	P38041	phospholipid binding [GO:0005543]
P38042	P38042	
P38061	P38061	structural constituent of ribosome [GO:0003735]
P38063	P38063	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]
P38064	P38064	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
P38065	P38065	clathrin adaptor activity [GO:0035615]
P38066	P38066	cyclohydrolase activity [GO:0019238]; GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; metal ion binding [GO:0046872]
P38067	P38067	succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]; succinate-semialdehyde dehydrogenase (NADP+) activity [GO:0036243]; succinate-semialdehyde dehydrogenase [NAD(P)+] activity [GO:0009013]
P38068	P38068	2 iron, 2 sulfur cluster binding [GO:0051537]; glutathione disulfide oxidoreductase activity [GO:0015038]; glutathione-disulfide reductase (NADPH) activity [GO:0004362]; metal ion binding [GO:0046872]
P38069	P38069	alpha-1,2-mannosyltransferase activity [GO:0000026]
P38070	P38070	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]
P38071	P38071	DNA binding [GO:0003677]; enoyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0141148]
P38072	P38072	copper chaperone activity [GO:0016531]; copper ion binding [GO:0005507]
P38073	P38073	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
P38074	P38074	histone methyltransferase activity [GO:0042054]; identical protein binding [GO:0042802]; protein-arginine N-methyltransferase activity [GO:0016274]; protein-arginine omega-N asymmetric methyltransferase activity [GO:0035242]; protein-arginine omega-N monomethyltransferase activity [GO:0035241]
P38075	P38075	FMN binding [GO:0010181]; pyridoxamine phosphate oxidase activity [GO:0004733]
P38077	P38077	proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
P38079	P38079	
P38080	P38080	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]
P38081	P38081	glucan endo-1,6-beta-glucosidase activity [GO:0046557]; glucan exo-1,3-beta-glucosidase activity [GO:0004338]
P38082	P38082	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
P38083	P38083	
P38084	P38084	amino acid transmembrane transporter activity [GO:0015171]; L-phenylalanine transmembrane transporter activity [GO:0015192]
P38085	P38085	amino acid transmembrane transporter activity [GO:0015171]; low-affinity tryptophan transmembrane transporter activity [GO:0022893]
P38086	P38086	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; DNA translocase activity [GO:0015616]; double-stranded DNA binding [GO:0003690]; double-stranded DNA helicase activity [GO:0036121]; forked DNA-dependent helicase activity [GO:0061749]; four-way junction helicase activity [GO:0009378]; single-stranded 3'-5' DNA helicase activity [GO:1990518]
P38087	P38087	glycine transmembrane transporter activity [GO:0015187]; organic acid transmembrane transporter activity [GO:0005342]
P38088	P38088	ATP binding [GO:0005524]; ATP:ATP adenylyltransferase activity [GO:0141192]; glycine-tRNA ligase activity [GO:0004820]; protein dimerization activity [GO:0046983]; sequence-specific mRNA binding [GO:1990825]
P38089	P38089	calmodulin-dependent protein phosphatase activity [GO:0033192]; histone H2AXS140 phosphatase activity [GO:0140791]; MAP kinase serine/threonine phosphatase activity [GO:1990439]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; protein serine/threonine phosphatase activity [GO:0004722]; RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]; RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]; RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]; RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]; RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]
P38090	P38090	amino acid transmembrane transporter activity [GO:0015171]
P38109	P38109	serine hydrolase activity [GO:0017171]; serine-type carboxypeptidase activity [GO:0004185]
P38111	P38111	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]
P38112	P38112	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
P38113	P38113	alcohol dehydrogenase (NAD+) activity [GO:0004022]; zinc ion binding [GO:0008270]
P38114	P38114	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
P38115	P38115	aldose reductase (NADPH) activity [GO:0004032]; D-arabinose 1-dehydrogenase (NAD+) activity [GO:0047816]; D-arabinose 1-dehydrogenase (NADP+) activity [GO:0106271]; D-arabinose 1-dehydrogenase [NAD(P)+] activity [GO:0045290]; diacetyl reductase ((S)-acetoin forming) (NAD+) activity [GO:0052588]
P38116	P38116	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
P38120	P38120	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P38121	P38121	DNA binding [GO:0003677]
P38122	P38122	3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]; magnesium ion binding [GO:0000287]
P38123	P38123	histone binding [GO:0042393]
P38124	P38124	fluconazole transmembrane transporter activity [GO:0015244]; xenobiotic transmembrane transporter activity [GO:0042910]
P38125	P38125	amine transmembrane transporter activity [GO:0005275]
P38126	P38126	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
P38127	P38127	pyrimidine nucleotide transmembrane transporter activity [GO:0015218]
P38128	P38128	DNA binding, bending [GO:0008301]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
P38129	P38129	chromatin binding [GO:0003682]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; ubiquitin binding [GO:0043130]
P38130	P38130	alpha-1,2-mannosyltransferase activity [GO:0000026]; mannosyltransferase activity [GO:0000030]
P38131	P38131	alpha-1,2-mannosyltransferase activity [GO:0000026]; mannosyltransferase activity [GO:0000030]
P38132	P38132	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; double-stranded DNA helicase activity [GO:0036121]; forked DNA-dependent helicase activity [GO:0061749]; four-way junction helicase activity [GO:0009378]; MCM complex binding [GO:1904931]; single-stranded 3'-5' DNA helicase activity [GO:1990518]; single-stranded DNA helicase activity [GO:0017116]
P38137	P38137	ATP binding [GO:0005524]; medium-chain fatty acid-CoA ligase activity [GO:0031956]; mRNA binding [GO:0003729]; oxalate-CoA ligase activity [GO:0050203]
P38138	P38138	alpha-glucosidase activity [GO:0090599]; carbohydrate binding [GO:0030246]; Glc2Man9GlcNAc2 oligosaccharide glucosidase activity [GO:0106407]; glucan 1,3-alpha-glucosidase activity [GO:0033919]
P38139	P38139	hydrolase activity, acting on ester bonds [GO:0016788]; monoacylglycerol lipase activity [GO:0047372]; serine hydrolase activity [GO:0017171]; triacylglycerol lipase activity [GO:0004806]
P38140	P38140	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
P38141	P38141	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
P38142	P38142	hexose transmembrane transporter activity [GO:0015149]; transmembrane transporter activity [GO:0022857]
P38143	P38143	glutathione peroxidase activity [GO:0004602]; phospholipid-hydroperoxide glutathione peroxidase activity [GO:0047066]; thioredoxin-dependent peroxiredoxin activity [GO:0140824]
P38144	P38144	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; mRNA 3'-UTR binding [GO:0003730]; nucleosome array spacer activity [GO:0140750]; nucleosome binding [GO:0031491]; rDNA binding [GO:0000182]; transcription cis-regulatory region binding [GO:0000976]
P38145	P38145	riboflavin synthase activity [GO:0004746]
P38146	P38146	enzyme regulator activity [GO:0030234]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanyl nucleotide binding [GO:0019001]
P38147	P38147	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]
P38148	P38148	calmodulin-dependent protein phosphatase activity [GO:0033192]; histone H2AXS140 phosphatase activity [GO:0140791]; histone H2AXY142 phosphatase activity [GO:0140793]; MAP kinase serine/threonine phosphatase activity [GO:1990439]; myosin phosphatase activity [GO:0017018]; non-membrane spanning protein tyrosine phosphatase activity [GO:0004726]; protein tyrosine phosphatase activity, metal-dependent [GO:0030946]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]; RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]; RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]; RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]; RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]
P38149	P38149	dipeptidase activity [GO:0016805]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; omega peptidase activity [GO:0008242]; peptidase activity [GO:0008233]
P38150	P38150	
P38151	P38151	mRNA binding [GO:0003729]
P38152	P38152	citrate secondary active transmembrane transporter activity [GO:0071913]; tricarboxylate secondary active transmembrane transporter activity [GO:0005371]
P38153	P38153	
P38155	P38155	structural constituent of cell wall [GO:0005199]
P38156	P38156	alpha-glucoside:proton symporter activity [GO:0005352]; carbohydrate:proton symporter activity [GO:0005351]
P38157	P38157	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]
P38158	P38158	alpha-1,4-glucosidase activity [GO:0004558]; alpha-amylase activity [GO:0004556]; glucan 1,4-alpha-maltotriohydrolase activity [GO:0033934]; oligo-1,6-glucosidase activity [GO:0004574]; sucrose alpha-glucosidase activity [GO:0004575]
P38162	P38162	
P38163	P38163	GTPase activator activity [GO:0005096]; myosin II binding [GO:0045159]; syntaxin binding [GO:0019905]
P38164	P38164	
P38165	P38165	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]
P38166	P38166	
P38167	P38167	protein-macromolecule adaptor activity [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]
P38169	P38169	FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; kynurenine 3-monooxygenase activity [GO:0004502]; NAD(P)H oxidase H2O2-forming activity [GO:0016174]
P38170	P38170	chromatin binding [GO:0003682]
P38172	P38172	
P38174	P38174	aminopeptidase activity [GO:0004177]; initiator methionyl aminopeptidase activity [GO:0004239]; metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]; metalloexopeptidase activity [GO:0008235]
P38175	P38175	structural constituent of ribosome [GO:0003735]
P38176	P38176	L-arginine transmembrane transporter activity [GO:0061459]; L-glutamate transmembrane transporter activity [GO:0005313]; L-histidine transmembrane transporter activity [GO:0005290]; L-lysine transmembrane transporter activity [GO:0015189]; L-serine transmembrane transporter activity [GO:0015194]; L-tyrosine transmembrane transporter activity [GO:0005302]; transmembrane transporter activity [GO:0022857]
P38177	P38177	
P38179	P38179	dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity [GO:0052925]
P38180	P38180	
P38181	P38181	chromatin binding [GO:0003682]; promoter-specific chromatin binding [GO:1990841]; protein-containing complex binding [GO:0044877]; structural constituent of nuclear pore [GO:0017056]
P38182	P38182	phosphatidylethanolamine binding [GO:0008429]; protein tag activity [GO:0031386]
P38185	P38185	
P38187	P38187	cysteine-type deubiquitinase activity [GO:0004843]
P38191	P38191	metal ion binding [GO:0046872]
P38192	P38192	
P38193	P38193	protein phosphatase regulator activity [GO:0019888]
P38194	P38194	
P38195	P38195	
P38196	P38196	nucleobase transmembrane transporter activity [GO:0015205]; uridine transmembrane transporter activity [GO:0015213]
P38197	P38197	pyridoxal phosphate binding [GO:0030170]
P38198	P38198	beta-tubulin binding [GO:0048487]; kinetochore binding [GO:0043515]; microtubule binding [GO:0008017]
P38199	P38199	mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA binding [GO:0003729]
P38200	P38200	microtubule binding [GO:0008017]
P38201	P38201	
P38202	P38202	
P38203	P38203	RNA binding [GO:0003723]
P38204	P38204	RNA polymerase I cis-regulatory region sequence-specific DNA binding [GO:0001165]; RNA polymerase I general transcription initiation factor activity [GO:0001181]
P38205	P38205	tRNA (cytidine-5-)-methyltransferase activity [GO:0016428]; tRNA binding [GO:0000049]
P38206	P38206	flippase activity [GO:0140327]; glycolipid floppase activity [GO:0034202]
P38207	P38207	3'-5' exonuclease activity [GO:0008408]; DNA binding [GO:0003677]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; double-stranded DNA 3'-5' DNA exonuclease activity [GO:0008311]; endonuclease activity [GO:0004519]; phosphoric diester hydrolase activity [GO:0008081]; zinc ion binding [GO:0008270]
P38208	P38208	ribonuclease P activity [GO:0004526]
P38210	P38210	
P38211	P38211	alpha-1,6-mannosyltransferase activity [GO:0000009]; glycolipid mannosyltransferase activity [GO:0004376]; mannosyltransferase activity [GO:0000030]
P38212	P38212	protein-membrane adaptor activity [GO:0043495]
P38213	P38213	
P38215	P38215	
P38216	P38216	
P38217	P38217	nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]
P38218	P38218	ADP-ribosyl-[dinitrogen reductase] hydrolase activity [GO:0047407]; phosphatase activity [GO:0016791]
P38219	P38219	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; ribosomal large subunit binding [GO:0043023]
P38220	P38220	
P38221	P38221	phosphatidate cytidylyltransferase activity [GO:0004605]
P38222	P38222	protein-lysine N-methyltransferase activity [GO:0016279]
P38223	P38223	
P38224	P38224	
P38225	P38225	ATP binding [GO:0005524]; long-chain fatty acid transmembrane transporter activity [GO:0005324]; long-chain fatty acid-CoA ligase activity [GO:0004467]; very long-chain fatty acid-CoA ligase activity [GO:0031957]
P38226	P38226	acyltransferase activity [GO:0016746]
P38227	P38227	efflux transmembrane transporter activity [GO:0015562]; polyamine transmembrane transporter activity [GO:0015203]; threonine efflux transmembrane transporter activity [GO:0015565]
P38228	P38228	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]
P38229	P38229	protein phosphatase 1 binding [GO:0008157]; protein phosphatase regulator activity [GO:0019888]
P38230	P38230	2-alkenal reductase [NAD(P)+] activity [GO:0032440]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; NADPH binding [GO:0070402]; NADPH:quinone reductase activity [GO:0003960]; zinc ion binding [GO:0008270]
P38231	P38231	
P38232	P38232	protein phosphatase regulator activity [GO:0019888]
P38234	P38234	FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]
P38235	P38235	calcium ion binding [GO:0005509]; gluconolactonase activity [GO:0004341]
P38236	P38236	
P38237	P38237	cysteine-type deubiquitinase activity [GO:0004843]; zinc ion binding [GO:0008270]
P38238	P38238	S-adenosyl-L-methionine binding [GO:1904047]; tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase activity [GO:0106340]; tRNA (guanine) methyltransferase activity [GO:0016423]; tRNA 2'-O-methyltransferase activity [GO:0106050]; tRNA methyltransferase activity [GO:0008175]
P38239	P38239	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
P38241	P38241	pre-mRNA binding [GO:0036002]; U6 snRNA binding [GO:0017070]
P38242	P38242	protein-membrane adaptor activity [GO:0043495]
P38243	P38243	
P38244	P38244	metal ion binding [GO:0046872]; metalloexopeptidase activity [GO:0008235]
P38246	P38246	
P38247	P38247	identical protein binding [GO:0042802]
P38248	P38248	
P38249	P38249	mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743]
P38250	P38250	chloride channel activity [GO:0005254]; lipid binding [GO:0008289]
P38251	P38251	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]
P38253	P38253	
P38254	P38254	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; tubulin-tyrosine ligase activity [GO:0004835]
P38255	P38255	
P38256	P38256	transferase activity [GO:0016740]
P38257	P38257	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]
P38260	P38260	adenyl-nucleotide exchange factor activity [GO:0000774]
P38261	P38261	
P38262	P38262	transcription corepressor activity [GO:0003714]
P38263	P38263	
P38264	P38264	
P38265	P38265	
P38266	P38266	
P38270	P38270	
P38271	P38271	phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phospholipid binding [GO:0005543]
P38272	P38272	mRNA binding [GO:0003729]; sequence-specific mRNA binding [GO:1990825]
P38273	P38273	guanyl-nucleotide exchange factor activity [GO:0005085]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-5-phosphate binding [GO:0010314]; phosphatidylserine binding [GO:0001786]
P38274	P38274	histone arginine N-methyltransferase activity [GO:0008469]; histone H2AQ104 methyltransferase activity [GO:1990259]; histone H3K37 methyltransferase activity [GO:0062122]; histone H3K56 methyltransferase activity [GO:0140759]; histone H3R17 methyltransferase activity [GO:0035642]; histone H3R2 methyltransferase activity [GO:0070611]; histone H3R26 methyltransferase activity [GO:0140903]; histone H3R8 methyltransferase activity [GO:0140592]; histone H4K12 methyltransferase activity [GO:0140984]; histone H4R3 methyltransferase activity [GO:0044020]; histone methyltransferase activity [GO:0042054]; protein-arginine omega-N monomethyltransferase activity [GO:0035241]; protein-arginine omega-N symmetric methyltransferase activity [GO:0035243]
P38276	P38276	
P38277	P38277	
P38278	P38278	rRNA (adenine) methyltransferase activity [GO:0016433]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
P38279	P38279	basic amino acid transmembrane transporter activity [GO:0015174]; L-histidine transmembrane transporter activity [GO:0005290]
P38280	P38280	
P38281	P38281	
P38282	P38282	RNA binding [GO:0003723]
P38283	P38283	protein kinase activator activity [GO:0030295]
P38284	P38284	
P38285	P38285	small GTPase binding [GO:0031267]
P38286	P38286	ketoreductase activity [GO:0045703]; very-long-chain 3-oxoacyl-CoA reductase activity [GO:0141040]
P38287	P38287	inositol phosphorylceramide mannosyltransferase activity [GO:0103064]; mannosyltransferase activity [GO:0000030]
P38288	P38288	hydrolase activity, acting on glycosyl bonds [GO:0016798]
P38289	P38289	4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; single-stranded DNA 5'-3' DNA exonuclease activity [GO:0045145]
P38290	P38290	
P38291	P38291	ribonuclease P activity [GO:0004526]; RNA binding [GO:0003723]
P38292	P38292	
P38293	P38293	
P38295	P38295	acetylesterase activity [GO:0008126]; alcohol O-acetyltransferase activity [GO:0004026]; monoacylglycerol lipase activity [GO:0047372]; serine hydrolase activity [GO:0017171]; short-chain carboxylesterase activity [GO:0034338]
P38297	P38297	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; peroxisome-mitochondrion membrane tether activity [GO:0160190]
P38298	P38298	N-acylsphingosine amidohydrolase activity [GO:0017040]; sphingosine N-acyltransferase activity [GO:0050291]
P38299	P38299	
P38300	P38300	mitochondrial ribosome binding [GO:0097177]; ribosome binding [GO:0043022]
P38301	P38301	calcium ion transmembrane transporter activity [GO:0015085]; calcium:proton antiporter activity [GO:0015369]; manganese ion transmembrane transporter activity [GO:0005384]; manganese:proton antiporter activity [GO:0010486]
P38302	P38302	
P38304	P38304	protein-macromolecule adaptor activity [GO:0030674]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; TBP-class protein binding [GO:0017025]; transcription coregulator activity [GO:0003712]; transcription corepressor activity [GO:0003714]
P38305	P38305	
P38306	P38306	
P38307	P38307	misfolded protein binding [GO:0051787]; signal recognition particle binding [GO:0005047]
P38308	P38308	
P38310	P38310	ferrous iron transmembrane transporter activity [GO:0015093]; iron ion transmembrane transporter activity [GO:0005381]
P38311	P38311	
P38312	P38312	signaling receptor binding [GO:0005102]
P38313	P38313	
P38314	P38314	protein serine/threonine phosphatase inhibitor activity [GO:0004865]
P38315	P38315	DNA-binding transcription factor binding [GO:0140297]; protein-disulfide reductase activity [GO:0015035]
P38316	P38316	enzyme activator activity [GO:0008047]; protein tag activity [GO:0031386]
P38317	P38317	acetyl-CoA transmembrane transporter activity [GO:0008521]
P38318	P38318	acetyl-CoA transmembrane transporter activity [GO:0008521]
P38319	P38319	3'-tyrosyl-DNA phosphodiesterase activity [GO:0017005]; 5'-tyrosyl-DNA phosphodiesterase activity [GO:0070260]; double-stranded DNA binding [GO:0003690]; exonuclease activity [GO:0004527]; single-stranded DNA binding [GO:0003697]
P38321	P38321	
P38323	P38323	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
P38324	P38324	5'-flap endonuclease activity [GO:0017108]; crossover junction DNA endonuclease activity [GO:0008821]; zinc ion binding [GO:0008270]
P38325	P38325	nascent polypeptide-associated complex binding [GO:1990593]
P38326	P38326	
P38328	P38328	actin filament binding [GO:0051015]; ubiquitin binding [GO:0043130]
P38329	P38329	potassium:chloride symporter activity [GO:0015379]
P38330	P38330	mRNA binding [GO:0003729]
P38331	P38331	5'-deoxynucleotidase activity [GO:0002953]; GMP 5'-nucleotidase activity [GO:0050484]; metal ion binding [GO:0046872]
P38332	P38332	diphthine methylesterase activity [GO:0061685]; protein methylesterase activity [GO:0051723]
P38333	P38333	snoRNA binding [GO:0030515]
P38334	P38334	
P38335	P38335	
P38336	P38336	ribonuclease P RNA binding [GO:0033204]; RNA binding [GO:0003723]; rRNA primary transcript binding [GO:0042134]
P38337	P38337	
P38338	P38338	
