YSN	 UniProtID	 Name	 Gene Names
YPR086W	P29055	Transcription initiation factor IIB (General transcription factor TFIIB) (Transcription factor E)	SUA7, YPR086W, P9513.4
YMR123W	Q03880	V-type ATPase assembly factor PKR1	PKR1, YMR123W, YM8564.05
YPL077C	Q02831	Uncharacterized protein YPL077C	YPL077C
YJL201W	P32525	Protein ECM25 (Extracellular matrix protein 25)	ECM25, YJL201W, J0325
YAL062W	P39708	NADP-specific glutamate dehydrogenase 2 (NADP-GDH 2) (EC 1.4.1.4) (NADP-dependent glutamate dehydrogenase 2)	GDH3, YAL062W, FUN51
YLR287C	Q05881	Uncharacterized protein YLR287C	YLR287C
YLR099W-A	Q3E798	Mitochondrial import protein 2	MIM2, YLR099W-A
YLR088W	P39012	GPI transamidase component GAA1	GAA1, END2, YLR088W, L9449.4
YGL221C	P53081	NGG1-interacting factor 3	NIF3, YGL221C
YJR013W	P47088	GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I) (GPI-MT-I) (Glycosylphosphatidylinositol-anchor biosynthesis protein 14)	GPI14, PMH1, YJR013W, J1444, YJR83.11
YKL021C	P20484	Protein MAK11 (Maintenance of killer protein 11)	MAK11, YKL021C
YGR230W	P50084	Protein BNS1	BNS1, YGR230W, G8558
YLR152C	P54072	Uncharacterized transporter YLR152C	YLR152C, L9634.9
YNL086W	P48232	Biogenesis of lysosome-related organelles complex 1 subunit SNN1 (BLOC-1 subunit SNN1) (SNAPIN-like protein 1)	SNN1, YNL086W, N2254
YDR382W	P02400	Large ribosomal subunit protein P2B (P2B) (60S acidic ribosomal protein P2-beta) (L12eIA) (L45) (YL44C) (YP2beta) (YPA1)	RPP2B, L12EIA, RPL45, RPLA4, YDR382W
YKR072C	P36024	Phosphopantothenoylcysteine decarboxylase subunit SIS2 (Halotolerance protein HAL3) (Sit4 suppressor 2)	SIS2, HAL3, YKR072C
YLR246W	Q06551	Palmitoyltransferase ERF2 (EC 2.3.1.225) (DHHC cysteine-rich domain-containing protein ERF2) (Ras protein acyltransferase)	ERF2, YLR246W
YKR013W	P36110	Protein PRY2 (Pathogenesis-related protein 2)	PRY2, YKR013W, YK111
YBL092W	P38061	Large ribosomal subunit protein eL32 (60S ribosomal protein L32)	RPL32, YBL092W, YBL0838
YDR255C	Q12508	E3 ubiquitin-protein ligase RMD5 (EC 2.3.2.27) (Glucose-induced degradation protein 2) (Required for meiotic nuclear division protein 5) (Sporulation protein RMD5)	RMD5, GID2, YDR255C, YD9320A.05c
YGR024C	P53215	tRNA(His) guanylyltransferase (EC 2.7.7.79) (tRNA-histidine guanylyltransferase)	THG1, YGR024C
YEL046C	P37303	Low specificity L-threonine aldolase (Low specificity L-TA) (TA) (EC 4.1.2.48)	GLY1, YEL046C, SYGP-ORF34
YOR190W	P32603	Sporulation-specific glucan 1,3-beta-glucosidase (EC 3.2.1.58) (Exo-1,3-beta-glucanase)	SPR1, SSG1, YOR190W
YIL001W	P40560	Ankyrin repeat-containing protein YIL001W	YIL001W, YIA1W
YKL108W	P34252	DNA replication regulator SLD2 (DNA replication and checkpoint protein 1)	SLD2, DRC1, YKL108W, YKL463
YFL053W	P43550	Dihydroxyacetone kinase 2 (DHA kinase 2) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase 2) (Triokinase 2) (Triose kinase 2)	DAK2, YFL053W
YFL042C	P43560	Membrane-anchored lipid-binding protein LAM5 (Lipid transfer at contact site protein 2) (Lipid transfer protein anchored at membrane contact sites 1)	LAM5, LTC2, YFL042C
YNL027W	P53968	Transcriptional regulator CRZ1	CRZ1, HAL8, TCN1, YNL027W, N2760
YNL099C	P50946	Putative tyrosine-protein phosphatase OCA1 (EC 3.1.3.48) (Oxidant-induced cell-cycle arrest protein 1)	OCA1, YNL099C, N2194
YMR119W	P54074	ERAD-associated E3 ubiquitin-protein ligase ASI1 (EC 2.3.2.27) (Amino acid sensor-independent protein 1)	ASI1, YMR119W, YM8564.01, YM9718.18
YOR233W	Q01919	Serine/threonine-protein kinase KIN4 (EC 2.7.11.1)	KIN4, KIN3, KIN31, YOR233W, O5220
YGR198W	P46951	Cargo-transport protein YPP1 (Alpha-synuclein protective protein 1)	YPP1, YGR198W, G7594
YDR198C	Q03942	Ribosomal lysine N-methyltransferase 2 (EC 2.1.1.-)	RKM2, YDR198C
YCL039W	P25569	Glucose-induced degradation protein 7	GID7, MOH2, YCL039W, YCL311, YCL39W
YMR142C	P40212	Large ribosomal subunit protein eL13B (60S ribosomal protein L13-B)	RPL13B, RPL13, YMR142C, YM9375.11C
YDL015C	Q99190	Very-long-chain enoyl-CoA reductase (EC 1.3.1.93) (Enoyl reductase TSC13) (Temperature-sensitive CSG2 suppressor protein 13) (Trans-2-enoyl-CoA reductase)	TSC13, YDL015C, D2865
YMR085W	P0CF18	Uncharacterized protein YMR085W	YMR085W
YLR263W	P14291	Protein RED1 (Reductional division protein 1)	RED1, YLR263W, L8479.6
YCR028C	P25621	Pantothenate transporter FEN2 (Fenpropimorph resistance protein 2)	FEN2, YCR028C, YCR28C
YPL216W	Q08964	Putative ISWI chromatin-remodeling complex subunit YPL216W	YPL216W
YML021C	P12887	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	UNG1, YML021C
YOL062C	Q99186	AP-2 complex subunit mu (Adaptin medium chain APM4) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (Mu2-adaptin) (Plasma membrane adaptor AP-2 50 kDa protein)	APM4, AMP1, YOL062C, O1210
YHR084W	P13574	Protein STE12	STE12, YHR084W
YOR388C	Q08911	Formate dehydrogenase 1 (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)	FDH1, YOR388C
YKR053C	P23501	Dihydrosphingosine 1-phosphate phosphatase YSR3 (EC 3.1.3.-) (Long-chain base protein 2) (Sphingolipid resistance protein 3)	YSR3, LBP2, YKR053C
YMR106C	Q04437	ATP-dependent DNA helicase II subunit 2 (EC 3.6.4.12) (ATP-dependent DNA helicase II subunit Ku80) (High affinity DNA-binding factor subunit 2) (Yeast Ku80)	YKU80, HDF2, YMR106C, YM9718.05C
YML067C	Q04651	ER-derived vesicles protein ERV41	ERV41, YML067C
YDR207C	P39001	Transcriptional regulatory protein UME6 (Negative transcriptional regulator of IME2) (Regulator of inducer of meiosis protein 16) (Unscheduled meiotic gene expression protein 6)	UME6, CAR80, CARGR1, NIM2, RIM16, YDR207C, YD8142.04C
YJL071W	P40360	Amino-acid acetyltransferase, mitochondrial (EC 2.3.1.1) (Arginine-requiring protein 2) (Glutamate N-acetyltransferase) (N-acetylglutamate synthase) (AGS) (NAGS)	ARG2, YJL071W, HRB574, J1091
YBR288C	P38153	AP-3 complex subunit mu (AP-3 adaptor complex mu3A subunit) (Adaptor-related protein complex 3 subunit mu) (Mu-adaptin 3A) (Mu3-adaptin)	APM3, YKS6, YBR288C, YBR2035
YER038C	P40026	DNA repair protein KRE29 (Killer toxin-resistance protein 29)	KRE29, YER038C
YDL114W	Q07530	Uncharacterized oxidoreductase YDL114W (EC 1.-.-.-)	YDL114W
YEL077C	Q3E7X8	Y' element ATP-dependent helicase YEL077C (EC 3.6.4.12)	YEL077C
YDR020C	Q12084	Putative uridine kinase DAS2 (EC 2.7.1.48) (DST1-delta 6-azauracil sensitivity protein 2) (Regulator of rDNA transcription 3)	DAS2, RRT3, YDR020C, PZE232
YLR048W	P46654	Small ribosomal subunit protein uS2B (40S ribosomal protein S0-B) (Nucleic acid-binding protein NAB1B)	RPS0B, NAB1B, NAB4, YST2, YLR048W, L2118
YML028W	P34760	Peroxiredoxin TSA1 (Prx) (EC 1.11.1.24) (Cytoplasmic thiol peroxidase 1) (cTPx 1) (Protector protein) (PRP) (Thiol-specific antioxidant protein 1) (Thioredoxin peroxidase type Ia) (TPx type Ia) (Thioredoxin-dependent peroxide reductase) (Thioredoxin-dependent peroxiredoxin TSA1)	TSA1, TPX1, TSA, ZRG14, YML028W
YDL145C	P53622	Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (Retrieval from endoplasmic reticulum protein 1) (Secretory protein 22) (Suppressor of osmo-sensitivity 1)	COP1, RET1, SEC33, SOO1, YDL145C, D1578
YNL113W	P28000	DNA-directed RNA polymerases I and III subunit RPAC2 (RNA polymerases I and III subunit AC2) (AC19) (DNA-directed RNA polymerases I and III 16 kDa polypeptide) (RPA19)	RPC19, YNL113W, N1937
YOR382W	Q08906	Facilitator of iron transport 2	FIT2, YOR382W
YDR066C	Q12378	RNA polymerase II subunit B1 CTD phosphatase RTR2 (EC 3.1.3.16) (RNA polymerase II-associated protein 2 homolog RTR2) (Regulator of transcription 2)	RTR2, YDR066C, D4261
YGL045W	P53179	pH-response regulator protein palF/RIM8 (Regulator of IME2 protein 8)	RIM8, PAL3, YGL045W, YGL046W
YKL033W	P36097	TEL2-interacting protein 1	TTI1, FMP47, YKL033W, YKL246
YGR251W	P53317	Nucleolar protein 19	NOP19, YGR251W
YNL050C	P53952	Uncharacterized protein YNL050C	YNL050C, N2485, YNL2485C
YJL163C	P46996	Uncharacterized membrane protein YJL163C	YJL163C, J0544
YOR114W	Q12219	Uncharacterized protein YOR114W	YOR114W, O3248, YOR3248w
YGL171W	P45818	ATP-dependent RNA helicase ROK1 (EC 3.6.4.13) (Rescuer of KEM1 protein 1)	ROK1, YGL171W, G1651
YMR221C	Q04991	Protein FMP42	FMP42, YMR221C, YM9959.03C
YPL234C	P32842	V-type proton ATPase subunit c' (V-ATPase subunit c') (Proteolipid protein VMA11) (Trifluoperazine resistance protein 3) (V-ATPase 16 kDa proteolipid subunit 2) (Vacuolar proton pump c' subunit)	VMA11, CLS9, TFP3, YPL234C, P1064
YDL084W	Q07478	ATP-dependent RNA helicase SUB2 (EC 3.6.4.13) (Suppressor of BRR1 protein 2)	SUB2, YDL084W
YGR062C	P53239	Cytochrome c oxidase assembly protein COX18, mitochondrial (Cytochrome c oxidase assembly protein 18)	COX18, YGR062C, G4532
YLR398C	P35207	Antiviral helicase SKI2 (EC 3.6.4.13) (Superkiller protein 2)	SKI2, YLR398C, L8084.17
YIR016W	P40572	Uncharacterized protein YIR016W	YIR016W
YCL040W	P17709	Glucokinase-1 (EC 2.7.1.2) (Glucose kinase 1) (GLK-1)	GLK1, HOR3, YCL040W, YCL312, YCL40W
YIR024C	P40576	Inner membrane assembly complex subunit 22 (INA complex 22 kDa subunit)	INA22, YIR024C
YOR358W	Q02516	Transcriptional activator HAP5	HAP5, YOR358W
YHR101C	P38813	Protein BIG1 (Bad in glucose protein 1)	BIG1, YHR101C
YLR378C	P32915	Protein transport protein SEC61 (Sec61 complex subunit SEC61) (Sec61 complex subunit alpha)	SEC61, YLR378C, L3502.5
YDR237W	P36519	Large ribosomal subunit protein uL5m (54S ribosomal protein L7, mitochondrial) (YmL5) (YmL7)	MRPL7, YDR237W, YD8419.04
YOR244W	Q08649	Histone acetyltransferase ESA1 (EC 2.3.1.48) (Protein 2-hydroxyisobutyryltransferase ESA1) (EC 2.3.1.-) (Protein acetyltransferase ESA1) (EC 2.3.1.-) (Protein crotonyltransferase ESA1) (EC 2.3.1.-)	ESA1, YOR244W, O5257
YBR034C	P38074	Protein arginine N-methyltransferase 1 (EC 2.1.1.-) (Major type I protein arginine N-methyltransferase) (Type I PRMT) (hnRNP arginine N-methyltransferase)	HMT1, ODP1, RMT1, YBR034C, YBR0320
YIL116W	P07172	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	HIS5, YIL116W
YGL125W	P53128	Methylenetetrahydrofolate reductase 2 (EC 1.5.1.53) (YmL45)	MET13, MET11, MRPL45, YGL125W, G2882
YIL029C	P40538	Uncharacterized protein YIL029C	YIL029C
YBR274W	P38147	Serine/threonine-protein kinase CHK1 (EC 2.7.11.1) (Checkpoint kinase 1)	CHK1, YBR274W, YBR1742
YKL210W	P22515	Ubiquitin-activating enzyme E1 1 (EC 6.2.1.45)	UBA1, YKL210W
YOR212W	P18851	Guanine nucleotide-binding protein subunit beta	STE4, YOR212W, YOR50-2
YKL078W	P36009	Probable ATP-dependent RNA helicase DHR2 (EC 3.6.4.13) (DEAH box RNA helicase DHR2) (Helicase JA2)	DHR2, YKL078W, YKL408
YEL016C	P39997	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (E-NPP 2) [Includes: Alkaline phosphodiesterase 1 (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]	NPP2, YEL016C
YBR230W-A	Q3E762	Uncharacterized protein YBR230W-A	YBR230W-A
YLL032C	Q07834	KH domain-containing protein YLL032C	YLL032C
YOL012C	Q12692	Histone H2A.Z	HTZ1, H2AZ, HTA3, YOL012C, O2345
YHR139C	P13130	Sporulation-specific wall maturation protein	SPS100, YHR139C
YOR007C	Q12118	Small glutamine-rich tetratricopeptide repeat-containing protein 2 (SGT/UBP) (Viral protein U-binding protein)	SGT2, YOR007C, UNF346
YCL061C	P25588	Mediator of replication checkpoint protein 1 (DNA replication checkpoint mediator MRC1)	MRC1, YCL061C, YCL61C/YCL60C
YLR278C	Q05854	Uncharacterized transcriptional regulatory protein YLR278C	YLR278C, L8003.10
YJR006W	P46957	DNA polymerase delta small subunit (EC 2.7.7.7) (Hydroxyurea-sensitive protein 2)	POL31, HUS2, HYS2, SDP5, YJR006W, J1427, YJR83.7
YNR044W	P32323	A-agglutinin anchorage subunit (A-agglutinin cell wall attachment subunit)	AGA1, YNR044W, N3431
YPL076W	P46961	Phosphatidylinositol N-acetylglucosaminyltransferase GPI2 subunit (GPI-GlcNAc transferase complex subunit GPI2) (GPI-GnT subunit GPI2) (EC 2.4.1.198)	GPI2, GCR4, YPL076W, LPF9W
YOR298W	Q08750	Protein MUM3 (Muddled meiosis protein 3)	MUM3, YOR298W
YLR312W-A	P36523	Large ribosomal subunit protein mL57 (54S ribosomal protein L15, mitochondrial) (YmL15)	MRPL15, YLR312W-A, YLR312BW
YAR020C	P39545	Seripauperin-7	PAU7, YAR020C
YJL137C	P47011	Glycogenin-2 (EC 2.4.1.186) (Glycogen synthesis initiator protein 2) (Glycogenin glucosyltransferase 2)	GLG2, YJL137C, J0663
YIL129C	P40468	Cell morphogenesis protein PAG1 (Protein TAO3)	TAO3, PAG1, YIL129C
YHR192W	P38878	Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark)	LNP1, YHR192W
YDR383C	Q12493	Inner kinetochore subunit NKP1 (Constitutive centromere-associated network protein NKP1) (Non-essential kinetochore protein 1)	NKP1, YDR383C
YNL238W	P13134	Kexin (EC 3.4.21.61) (Protease KEX2) (Proteinase YSCF)	KEX2, QDS1, YNL238W, N1122
YLL010C	Q07800	Phosphatase PSR1 (EC 3.1.3.-) (Plasma membrane sodium response protein 1)	PSR1, YLL010C, L1341
YOR074C	P06785	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45) (Cell division cycle protein 21) (Constitutive RNR3 transcription protein 9)	CDC21, CRT9, TMP1, YOR074C, YOR29-25
YKR059W	P10081	ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Stimulator factor I 37 kDa component) (Translation initiation factor 1/2) (p37)	TIF1, TIF41A, YKR059W;, TIF2, TIF41B, YJL138C, J0660
YLR303W	P06106	Homocysteine/cysteine synthase (EC 2.5.1.47) (EC 2.5.1.49) (O-acetylserine/O-acetylhomoserine sulfhydrylase) (OAS-OAH SHLase) (OAS-OAH sulfhydrylase)	MET17, MET15, MET25, YLR303W, L8003.1
YHR118C	P38826	Origin recognition complex subunit 6 (ACS-associated protein 1) (Origin recognition complex 50 kDa subunit)	ORC6, AAP1, YHR118C
YNL156C	P53898	Protein NSG2 (INSIG homolog 2)	NSG2, YNL156C, N1747
YDR216W	P07248	Regulatory protein ADR1	ADR1, YDR216W, YD8142.16, YD8142B.08
YOR278W	P06174	Uroporphyrinogen-III synthase (UROIIIS) (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	HEM4, ORF1, YOR278W, O5463
YPL170W	Q12091	Damage response protein 1	DAP1, YPL170W, P2515
YDR356W	P32380	Spindle pole body component 110 (Extragenic suppressor of CMD1-1 mutant protein 1) (Nuclear filament-related protein 1) (Spindle pole body spacer protein SPC110)	SPC110, NUF1, XCM1, YDR356W, D9476.3
YCR012W	P00560	Phosphoglycerate kinase (EC 2.7.2.3)	PGK1, YCR012W, YCR12W
YML025C	P51998	Large ribosomal subunit protein uL4m (54S ribosomal protein YmL6, mitochondrial)	YML6, YML025C
YNL249C	P53583	Protein MPA43	MPA43, YNL249C, N0875
YER128W	P40080	VPS4-associated protein 1	VFA1, YER128W, SYGP-ORF44
YER042W	P40029	Peptide methionine sulfoxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase)	MXR1, YER042W
YLR014C	P07272	Pyrimidine pathway regulatory protein 1	PPR1, YLR014C
YDR212W	P12612	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	TCP1, CCT1, YDR212W, YD8142.13, YD8142B.04
YOL149W	Q12517	mRNA-decapping enzyme subunit 1	DCP1, YOL149W
YPL041C	Q03079	MIOREX complex component 11 (Mitochondrial organization of gene expression protein 11)	MRX11, YPL041C
YHR186C	P38873	Target of rapamycin complex 1 subunit KOG1 (TORC1 subunit KOG1) (Kontroller of growth protein 1) (Local anesthetic-sensitive protein 24) (Regulatory-associated protein of TOR) (Raptor)	KOG1, LAS24, YHR186C, H9998.14
YFL051C	P43552	Uncharacterized membrane protein YFL051C	YFL051C
YNL094W	P53933	Phosphatidate phosphatase APP1 (PAP) (EC 3.1.3.4) (Actin patch protein 1)	APP1, YNL094W, N2219
YBR111C	Q01976	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase)	YSA1, YBR111C, YBR0907
YPL110C	Q02979	Glycerophosphocholine phosphodiesterase GDE1 (EC 3.1.4.2) (Glycerophosphodiester phosphodiesterase GDE1)	GDE1, YPL110C
YMR210W	Q03649	Monoacylglycerol lipase (MAG lipase) (EC 3.1.1.23)	MGL2, YMR210W, YM8261.04
YFL034C-A	P56628	Large ribosomal subunit protein eL22B (60S ribosomal protein L22-B) (L1c) (RP4) (YL31)	RPL22B, YFL034C-A, YFL034BC
YER081W	P40054	D-3-phosphoglycerate dehydrogenase 1 (3-PGDH 1) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)	SER3, YER081W
YDL147W	Q12250	26S proteasome regulatory subunit RPN5 (Proteasome non-ATPase subunit 5)	RPN5, NAS5, YDL147W, D1572
YGL234W	P07244	Bifunctional purine biosynthetic protein ADE5,7 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GAR synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIR synthetase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)]	ADE57, ADE5,7, YGL234W
YER049W	P40032	Prolyl 3,4-dihydroxylase TPA1 (EC 1.14.11.-) (Termination and polyadenylation protein 1) (uS12 prolyl 3,4-dihydroxylase)	TPA1, YER049W
YDR477W	P06782	Carbon catabolite-derepressing protein kinase (EC 2.7.11.1) (Sucrose nonfermentating protein 1)	SNF1, CAT1, CCR1, GLC2, PAS14, YDR477W, D8035.20
YBR212W	P32831	Negative growth regulatory protein NGR1 (RNA-binding protein RBP1)	NGR1, RBP1, YBR212W, YBR1459
YJR106W	P47144	Protein ECM27 (Extracellular matrix protein 27)	ECM27, YJR106W, J1978
YLR361C-A	Q3E795	Uncharacterized protein YLR361C-A	YLR361C-A
YGL111W	P53136	Ribosome biogenesis protein NSA1 (NOP7-associated protein 1)	NSA1, YGL111W, G2990
YER060W-A	Q12119	Purine-cytosine permease FCY22 (PCP FCY22) (Cytosine/purine transport protein FCY22) (Fluorocytosine resistance protein 22)	FCY22, FCYX, YER060W-A
YCR092C	P25336	DNA mismatch repair protein MSH3 (Mismatch-binding protein) (MBP) (MutS protein homolog 3)	MSH3, YCR092C, YCR1152, YCR92C
YCL063W	P25591	vacuole-related protein 17 (Vacuole-specific MYO2 receptor VAC17)	VAC17, YCL063W, YCL63W/YCL62W
YKL128C	P36069	Probable phosphoglycerate mutase PMU1 (EC 5.4.-.-) (Phosphomutase homolog 1)	PMU1, YKL128C
YBL101C	P38167	Protein ECM21 (Extracellular mutant protein 21)	ECM21, YBL101C, YBL0814
YHR026W	P23968	V-type proton ATPase subunit c'' (V-ATPase subunit c'') (V-ATPase 22 kDa proteolipid subunit) (Vacuolar proton pump c'' subunit)	VMA16, PPA1, YHR026W
YHL025W	P18888	Transcription regulatory protein SNF6 (SWI/SNF complex component SNF6)	SNF6, YHL025W
YIL075C	P32565	26S proteasome regulatory subunit RPN2	RPN2, SEN3, YIL075C
YHR079C-A	P89114	Pachytene arrest protein SAE3 (Sporulation in the absence of SPO11 protein 3)	SAE3, YHR079C-A
YIL156W-B	Q2V2P4	Mitofissin (Autophagy-related protein 44) (Mitochondrial fission factor ATG44)	ATG44, MCO8, YIL156W-B
YBR005W	P38212	Protein RCR1 (Resistance to Congo red protein 1)	RCR1, YBR005W, YBR0111
YER130C	P39959	Zinc finger protein YER130C	YER130C
YPL122C	Q02939	General transcription and DNA repair factor IIH subunit TFB2 (TFIIH subunit TFB2) (RNA polymerase II transcription factor B 52 kDa subunit) (RNA polymerase II transcription factor B p52 subunit) (RNA polymerase II transcription factor B subunit 2)	TFB2, YPL122C
YNL110C	P53927	Ribosome biogenesis protein 15 (Nucleolar protein 15)	NOP15, YNL110C, N1954
YFR013W	P43596	ISWI one complex protein 3	IOC3, YFR013W
YJR005W	P27351	AP-2 complex subunit beta (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Clathrin assembly protein large beta chain)	APL1, YAP80, YJR005W, J1422
YOL072W	Q08231	Nuclear mRNA export protein THP1 (Bud site selection protein 29)	THP1, BUD29, YOL072W, O1140
YNL131W	P49334	Mitochondrial import receptor subunit TOM22 (Mitochondrial 17 kDa assembly protein) (Mitochondrial 22 kDa outer membrane protein) (Protein MAS17) (Translocase of outer membrane 22 kDa subunit)	TOM22, MAS17, MAS22, MOM22, YNL131W, N1217, N1862
YMR003W	Q03673	Altered inheritance of mitochondria protein 34, mitochondrial	AIM34, YMR003W, YM8270.05
YBR160W	P00546	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 1)	CDC28, CDK1, HSL5, SRM5, YBR160W, YBR1211
YLR214W	P32791	Ferric/cupric reductase transmembrane component 1 (EC 1.16.1.9) (Ferric-chelate reductase 1)	FRE1, YLR214W, L8167.2
YNR021W	P53723	UPF0674 endoplasmic reticulum membrane protein YNR021W	YNR021W, N3216
YLR318W	Q06163	Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit)	EST2, YLR318W, L8543.12
YHR161C	P38856	Clathrin coat assembly protein AP180A	YAP1801, YHR161C
YHR150W	P38848	Peroxisomal membrane protein PEX28 (Peroxin-28)	PEX28, YHR150W
YMR079W	P24280	SEC14 cytosolic factor (Phosphatidylinositol/phosphatidylcholine transfer protein) (PI/PC TP)	SEC14, PIT1, YMR079W, YM9582.04
YBR234C	P38328	Actin-related protein 2/3 complex subunit 1 (Arp2/3 complex 41 kDa subunit) (p41-ARC)	ARC40, YBR234C, YBR1532
YHR205W	P11792	Serine/threonine-protein kinase SCH9 (EC 2.7.11.1)	SCH9, KOM1, YHR205W
YPL272C	Q08984	Uncharacterized protein YPL272C	YPL272C
YMR292W	Q03554	Protein transport protein GOT1 (Golgi transport protein 1)	GOT1, YMR292W
YMR176W	Q03214	Protein ECM5 (Extracellular matrix protein 5)	ECM5, YMR176W, YM8010.06
YFR016C	P43597	Uncharacterized protein YFR016C	YFR016C
YOR378W	Q08902	Low affinity ammonium transporter (Ammonium facilitator 1)	AMF1, YOR378W
YJR048W	P00044	Cytochrome c isoform 1 (Iso-1-cytochrome c) (Cytochrome c aerobic isoform)	CYC1, YJR048W, J1653
YDR503C	Q04396	Lipid phosphate phosphatase 1 (EC 3.6.1.75) (Lysophosphatidate phosphatase) (EC 3.1.3.106) (Phosphatidate phosphatase) (EC 3.1.3.4)	LPP1, YDR503C, D9719.9
YJL101C	P32477	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)	GSH1, YJL101C, J0832
YOR328W	P51533	ATP-dependent permease PDR10	PDR10, YOR328W
YLR102C	Q12107	Anaphase-promoting complex subunit 9	APC9, YLR102C
YOR081C	Q12043	Triacylglycerol lipase 5 (TAG lipase 5) (TG lipase 5) (EC 3.1.1.3) (Lipase 5)	TGL5, STC2, YOR081C, YOR29-32, YOR2964C
YIR014W	P40570	Vacuole localized DSC protein 1	VLD1, YIR014W
YHR015W	P38760	RNA-binding protein MIP6 (MEX67-interacting protein 6)	MIP6, YHR015W
YGR201C	P42936	Putative elongation factor 1 gamma homolog	YGR201C, G7727
YDL157C	Q12082	Uncharacterized protein YDL157C, mitochondrial	YDL157C, D1533
YGL103W	P02406	Large ribosomal subunit protein uL15 (60S ribosomal protein L28) (L27a) (L29) (RP44) (RP62) (YL24)	RPL28, CYH2, YGL103W
YNL079C	P17536	Tropomyosin-1	TPM1, YNL079C, N2332
YGL119W	P27697	Atypical kinase COQ8, mitochondrial (EC 2.7.-.-) (Activity of bc1 complex protein 1) (Coenzyme Q protein 8) (Ubiquinone biosynthesis protein COQ8)	COQ8, ABC1, YGL119W
YHR030C	Q00772	Mitogen-activated protein kinase SLT2/MPK1 (MAP kinase MPK1) (EC 2.7.11.24)	SLT2, MPK1, YHR030C
YPL203W	P06245	cAMP-dependent protein kinase type 2 (PKA 2) (EC 2.7.11.11)	TPK2, PKA2, YKR1, YPL203W
YDR277C	P35198	Protein MTH1	MTH1, YDR277C, D9954.12
YBL080C	P33893	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-) (Cytochrome c oxidase assembly factor PET112)	PET112, YBL080C, YBL0724
YDR205W	Q03455	Probable zinc transporter MSC2 (Meiotic sister chromatid recombination protein 2)	MSC2, YDR205W, YD8142.02
YKL213C	P36037	Protein DOA1 (Degradation of alpha protein 1) (Ubiquitin fusion degradation protein 3)	DOA1, UFD3, ZZZ4, YKL213C
YPL112C	Q02969	Peroxisomal membrane protein PEX25 (Peroxin-25)	PEX25, YPL112C
YGR049W	P32564	Protein SCM4 (Suppressor of CDC4 mutation 4)	SCM4, YGR049W
YNR048W	P53740	Phospholipid-transporting ATPase accessory subunit CRF1 (CDC50/ROS3 family protein 1) (CRF1)	YNR048W, N3453
YLR417W	Q06696	Vacuolar protein-sorting-associated protein 36 (ESCRT-II complex subunit VPS36)	VPS36, GRD12, VAC3, VPL11, YLR417W
YGR207C	P42940	Probable electron transfer flavoprotein subunit beta (Beta-ETF) (Changed intracellular redox state protein 1)	CIR1, YGR207C, G7742
YMR256C	P10174	Cytochrome c oxidase subunit 7, mitochondrial (Cytochrome c oxidase polypeptide VII)	COX7, YMR256C, YM9920.10C
YKL185W	P34233	Transcriptional regulatory protein ASH1 (Daughter cells HO repressor protein)	ASH1, YKL185W
