Q96R72	gene_name:OR4K3
Q7LBR1	gene_name:CHMP1B
Q8TBY9	gene_name:CFAP251
P01732	gene_name:CD8A
A6NFT4	gene_name:CFAP73
P0C854	gene_name:CECR9
Q8N4T0	gene_name:CPA6
Q8IX05	gene_name:CD302
Q2M2E5	gene_name:C5orf64
Q92772	gene_name:CDKL2
Q9BPX7	gene_name:C7orf25
P48509	gene_name:CD151
Q99967	gene_name:CITED2
Q9NQ89	gene_name:C12orf4
Q9Y6N3	gene_name:CLCA3P
Q92600	gene_name:CNOT9
O95476	gene_name:CTDNEP1
P49761	gene_name:CLK3
A0PJX0	gene_name:CIB4
F2Z3M2	gene_name:LINC02876
Q6UWE3	gene_name:CLPSL2
P67870	gene_name:CSNK2B
Q6V0L0	gene_name:CYP26C1
Q9H1R2	gene_name:DUSP15
Q9UHN1	gene_name:POLG2
O95620	gene_name:DUS4L
Q9P2K8	gene_name:EIF2AK4
Q8IZS6	gene_name:DYNLT2
P13639	gene_name:EEF2
Q52LR7	gene_name:EPC2
P54756	gene_name:EPHA5
A1L3X0	gene_name:ELOVL7
P41214	gene_name:EIF2D
Q01469	gene_name:FABP5
P31994	gene_name:FCGR2B
O75015	gene_name:FCGR3B
Q9BVV2	gene_name:FNDC11
Q9NZU1	gene_name:FLRT1
Q8N531	gene_name:FBXL6
P02675	gene_name:FGB
Q8WUP2	gene_name:FBLIM1
P06744	gene_name:GPI
Q96IV6	gene_name:FAXDC2
P51993	gene_name:FUT6
P21217	gene_name:FUT3
P23771	gene_name:GATA3
P06241	gene_name:FYN
Q14332	gene_name:FZD2
Q9NY12	gene_name:GAR1
P32239	gene_name:CCKBR
P15408	gene_name:FOSL2
O14926	gene_name:FSCN2
O94923	gene_name:GLCE
O14908	gene_name:GIPC1
Q9UEU5	gene_name:GAGE2D
A6NDE8	gene_name:GAGE12H
P52565	gene_name:ARHGDIA
P24046	gene_name:GABRR1
A8MPY1	gene_name:GABRR3
Q99679	gene_name:GPR21
Q5T4B2	gene_name:CERCAM
Q969Y2	gene_name:GTPBP3
Q6MZN7	gene_name:HCP5
P0DPK5	gene_name:H3Y2
P04183	gene_name:TK1
Q6DRA6	gene_name:H2BC19P
P0DOY5	gene_name:IGHD1-1
Q8IV16	gene_name:GPIHBP1
Q9UBQ7	gene_name:GRHPR
Q8TE85	gene_name:GRHL3
Q9BT25	gene_name:HAUS8
O00165	gene_name:HAX1
P62805	gene_name:H4C1
Q8TF76	gene_name:HASPIN
Q9UM44	gene_name:HHLA2
Q96JB3	gene_name:HIC2
P09630	gene_name:HOXC6
Q8IVG9	gene_name:MT-RNR2
P01780	gene_name:IGHV3-7
Q14568	gene_name:HSP90AA2P
A0A1B0GTS1	gene_name:HSFX4
A6NHT5	gene_name:HMX3
P0DMP1	gene_name:MTRNR2L12
P40189	gene_name:IL6ST
P09912	gene_name:IFI6
Q14774	gene_name:HLX
Q01638	gene_name:IL1RL1
P78552	gene_name:IL13RA1
Q8NI38	gene_name:NFKBID
Q96MG2	gene_name:JSRP1
Q96PY0	gene_name:PSMG3-AS1
P06213	gene_name:INSR
Q8WWG9	gene_name:KCNE4
Q6TFL4	gene_name:KLHL24
Q9Y2U2	gene_name:KCNK7
Q13886	gene_name:KLF9
Q5VTJ3	gene_name:KLHDC7A
Q9UKR3	gene_name:KLK13
O60516	gene_name:EIF4EBP3
Q9Y312	gene_name:AAR2
P17787	gene_name:CHRNB2
P07510	gene_name:CHRNG
Q2M3G0	gene_name:ABCB5
Q9UGI9	gene_name:PRKAG3
Q6PD74	gene_name:AAGAB
O43741	gene_name:PRKAB2
Q99218	gene_name:AMELY
P31751	gene_name:AKT2
C9JUS6	gene_name:ADM5
C9J202	gene_name:ALG1L2
Q96L96	gene_name:ALPK3
Q9UEY8	gene_name:ADD3
P61163	gene_name:ACTR1A
A6NHY2	gene_name:ANKDD1B
A8MUL3	gene_name:ADARB2-AS1
O95622	gene_name:ADCY5
Q9Y673	gene_name:ALG5
Q63HQ0	gene_name:AP1AR
B4E2M5	gene_name:ANKRD66
P39687	gene_name:ANP32A
Q69YU3	gene_name:ANKRD34A
O94973	gene_name:AP2A2
A6NH57	gene_name:ARL5C
Q8N1W1	gene_name:ARHGEF28
P53367	gene_name:ARFIP1
Q8N6H7	gene_name:ARFGAP2
Q99062	gene_name:CSF3R
Q99829	gene_name:CPNE1
Q6UUV9	gene_name:CRTC1
Q5IJ48	gene_name:CRB2
O95196	gene_name:CSPG5
Q16527	gene_name:CSRP2
Q05D32	gene_name:CTDSPL2
O94985	gene_name:CLSTN1
Q9H114	gene_name:CSTL1
Q7Z4W1	gene_name:DCXR
Q8IV53	gene_name:DENND1C
Q9P219	gene_name:CCDC88C
Q86TM3	gene_name:DDX53
Q9UK59	gene_name:DBR1
O75911	gene_name:DHRS3
Q14126	gene_name:DSG2
Q86SJ6	gene_name:DSG4
Q02487	gene_name:DSC2
P0CJ86	gene_name:DUX4L3
Q14236	gene_name:DIAPH2-AS1
Q9H223	gene_name:EHD4
P54852	gene_name:EMP3
A6NEL3	gene_name:FAM86C2P
B1AK53	gene_name:ESPN
P0C7W8	gene_name:FAM90A13P
Q92636	gene_name:NSMAF
P10768	gene_name:ESD
Q86YB8	gene_name:ERO1B
Q9HB96	gene_name:FANCE
Q9BZJ7	gene_name:GPR62
Q8NB91	gene_name:FANCB
Q96RU3	gene_name:FNBP1
Q9UIM3	gene_name:FKBPL
O95302	gene_name:FKBP9
A8MUU1	gene_name:FABP5P3
O75369	gene_name:FLNB
O75955	gene_name:FLOT1
Q494R0	gene_name:FBXL19-AS1
Q5TD97	gene_name:FHL5
Q9HCT0	gene_name:FGF22
P35555	gene_name:FBN1
O43826	gene_name:SLC37A4
Q9NQR9	gene_name:G6PC2
Q96A11	gene_name:GAL3ST3
O95479	gene_name:H6PD
A0A0B4J2D5	gene_name:GATD3B
P55317	gene_name:FOXA1
Q7L622	gene_name:G2E3
Q08050	gene_name:FOXM1
Q86SF2	gene_name:GALNT7
Q9H0R6	gene_name:QRSL1
Q68DX3	gene_name:FRMPD2
P98177	gene_name:FOXO4
Q9NXP7	gene_name:GIN1
A6NEM1	gene_name:GOLGA6L9
P23434	gene_name:GCSH
P52566	gene_name:ARHGDIB
Q9NWZ8	gene_name:GEMIN8
Q9NVN8	gene_name:GNL3L
O15488	gene_name:GYG2
P21695	gene_name:GPD1
P15421	gene_name:GYPE
Q7Z3D6	gene_name:DGLUCY
P15104	gene_name:GLUL
P69891	gene_name:HBG1
P23527	gene_name:H2BC17
Q14832	gene_name:GRM3
P16104	gene_name:H2AX
Q9NYQ3	gene_name:HAO2
P26927	gene_name:MST1
Q03014	gene_name:HHEX
Q6NVY1	gene_name:HIBCH
Q96NU7	gene_name:AMDHD1
A0A0C4DH39	gene_name:IGHV1-58
Q96FZ2	gene_name:HMCES
P0DTE2	gene_name:IGHV8-51-1
P37235	gene_name:HPCAL1
Q9Y663	gene_name:HS3ST3A1
P35367	gene_name:HRH1
P30511	gene_name:HLA-F
Q9H6K1	gene_name:ILRUN
Q9P2D0	gene_name:IBTK
P0DOX5	gene_name:IGG1_HUMAN
Q86VF2	gene_name:IGFN1
P06730	gene_name:EIF4E
Q8NI99	gene_name:ANGPTL6
Q07973	gene_name:CYP24A1
P23528	gene_name:CFL1
Q8WXC6	gene_name:COPS9
I3L1E1	gene_name:C19orf84
Q9Y534	gene_name:CSDC2
Q86T23	gene_name:CROCCP2
P0DMU9	gene_name:CT45A10
Q53ET0	gene_name:CRTC2
P16410	gene_name:CTLA4
Q9NWV4	gene_name:CZIB
Q9NXE8	gene_name:CWC25
P04080	gene_name:CSTB
Q9NTU4	gene_name:CATSPERZ
P08574	gene_name:CYC1
Q96LI9	gene_name:CXorf58
A4D1U4	gene_name:DENND11
Q9HBH1	gene_name:PDF
Q9BQY9	gene_name:DBNDD2
Q9H6R0	gene_name:DHX33
Q14183	gene_name:DOC2A
P59910	gene_name:DNAJB13
Q53GQ0	gene_name:HSD17B12
Q9Y6W6	gene_name:DUSP10
Q9BY84	gene_name:DUSP16
Q9H596	gene_name:DUSP21
O60941	gene_name:DTNB
Q8N5C7	gene_name:DTWD1
P54792	gene_name:DVL1P1
Q05193	gene_name:DNM1
P0C7U0	gene_name:ELFN1
P58107	gene_name:EPPK1
Q13491	gene_name:GPM6B
P48167	gene_name:GLRB
Q96RP9	gene_name:GFM1
Q5JVL4	gene_name:EFHC1
P60228	gene_name:EIF3E
Q8N3D4	gene_name:EHBP1L1
P60509	gene_name:ERVPABLB-1
P33947	gene_name:KDELR2
Q96RT1	gene_name:ERBIN
O00519	gene_name:FAAH
Q8TAM6	gene_name:ERMN
A6NFZ4	gene_name:FAM24A
Q9NYY8	gene_name:FASTKD2
P46093	gene_name:GPR4
Q5JUQ0	gene_name:FAM78A
Q5W0V3	gene_name:FAM160B1
O15287	gene_name:FANCG
Q8NAU1	gene_name:FNDC5
Q9UKV0	gene_name:HDAC9
Q9NZ56	gene_name:FMN2
Q96SL8	gene_name:FIZ1
Q96EF6	gene_name:FBXO17
Q9NRD0	gene_name:FBXO8
Q5FWF7	gene_name:FBXO48
B3EWG5	gene_name:FAM25C
Q5JSP0	gene_name:FGD3
Q8TBJ5	gene_name:FEZF2
P49327	gene_name:FASN
Q96A29	gene_name:SLC35C1
Q64ET8	gene_name:FRG2
Q9H0Q3	gene_name:FXYD6
Q14802	gene_name:FXYD3
Q6ZQY3	gene_name:GADL1
Q6MZW2	gene_name:FSTL4
Q4V321	gene_name:GAGE13
Q9ULW2	gene_name:FZD10
A8MTJ6	gene_name:FOXI3
O43903	gene_name:GAS2
Q04609	gene_name:FOLH1
Q9NWU2	gene_name:GID8
Q9UG22	gene_name:GIMAP2
Q5VSY0	gene_name:GKAP1
Q5H9T9	gene_name:FSCB
Q96RT7	gene_name:TUBGCP6
Q9BY60	gene_name:GABARAPL3
Q96PP8	gene_name:GBP5
P61952	gene_name:GNG11
P30679	gene_name:GNA15
Q8NEA9	gene_name:GMCL2
O14653	gene_name:GOSR2
Q8IXQ4	gene_name:GPALPP1
O00155	gene_name:GPR25
Q9HC97	gene_name:GPR35
O95843	gene_name:GUCA1C
P51841	gene_name:GUCY2F
A8MUP6	gene_name:GSG1L2
Q8NEC7	gene_name:GSTCD
P06899	gene_name:H2BC11
P07305	gene_name:H1-0
P30711	gene_name:GSTT1
Q99880	gene_name:H2BC13
B7U540	gene_name:KCNJ18
Q96KK5	gene_name:H2AC12
O60269	gene_name:GPRIN2
P0C5Z0	gene_name:H2AB2
Q96MM7	gene_name:HS6ST2
Q9BQA5	gene_name:HINFP
P06865	gene_name:HEXA
Q9Y5Z7	gene_name:HCFC2
Q15011	gene_name:HERPUD1
Q9NRZ9	gene_name:HELLS
P31268	gene_name:HOXA7
Q9BUP3	gene_name:HTATIP2
P01766	gene_name:IGHV3-13
A0A0C4DH43	gene_name:IGHV2-70D
A0A075B6Q5	gene_name:IGHV3-64
A0A0C4DH41	gene_name:IGHV4-61
P06331	gene_name:IGHV4-34
Q9H3N8	gene_name:HRH4
Q6YN16	gene_name:HSDL2
P04196	gene_name:HRG
Q9GZV4	gene_name:EIF5A2
P0CJ76	gene_name:MTRNR2L9
P0DKL9	gene_name:ARL14EPL
Q676U5	gene_name:ATG16L1
Q12979	gene_name:ABR
Q8N961	gene_name:ABTB2
Q9NRW3	gene_name:APOBEC3C
P35318	gene_name:ADM
Q5I7T1	gene_name:ALG10B
O00170	gene_name:AIP
O95994	gene_name:AGR2
Q6NUN0	gene_name:ACSM5
P51828	gene_name:ADCY7
P35348	gene_name:ADRA1A
Q9UKJ8	gene_name:ADAM21
Q96IZ2	gene_name:ADTRP
Q9HAR2	gene_name:ADGRL3
P02654	gene_name:APOC1
Q2TAZ0	gene_name:ATG2A
Q8WVV5	gene_name:BTN2A2
Q96K17	gene_name:BTF3L4
Q6L9W6	gene_name:B4GALNT3
Q8NDB2	gene_name:BANK1
Q07812	gene_name:BAX
Q8N8R5	gene_name:C2orf69
Q9BV19	gene_name:C1orf50
P54284	gene_name:CACNB3
Q8WUQ7	gene_name:CACTIN
Q53S99	gene_name:C2orf83
Q9Y426	gene_name:C2CD2
Q8IWA6	gene_name:CCDC60
A0A1B0GTZ2	gene_name:CCDC196
Q9Y4X3	gene_name:CCL27
P0C7W6	gene_name:CCDC172
Q13191	gene_name:CBLB
Q8N7E2	gene_name:CBLL2
Q9UF02	gene_name:CACNG5
Q01151	gene_name:CD83
P33681	gene_name:CD80
Q6ZU80	gene_name:CEP128
Q9BSQ5	gene_name:CCM2
Q9Y6A4	gene_name:CFAP20
Q96M91	gene_name:CFAP53
Q8N7Q2	gene_name:CELF2-AS1
Q9C0B2	gene_name:CFAP74
Q96KX1	gene_name:C4orf36
Q8TAP6	gene_name:CEP76
P20273	gene_name:CD22
P51946	gene_name:CCNH
Q8N960	gene_name:CEP120
Q7LGC8	gene_name:CHST3
Q9H5V8	gene_name:CDCP1
Q8TCT0	gene_name:CERK
O43916	gene_name:CHST1
Q15131	gene_name:CDK10
Q02224	gene_name:CENPE
P22674	gene_name:CCNO
Q6UWU4	gene_name:C6orf89
Q9H9A5	gene_name:CNOT10
Q9P232	gene_name:CNTN3
Q9GZY4	gene_name:COA1
Q6ZS10	gene_name:CLEC17A
A5D8T8	gene_name:CLEC18A
Q99439	gene_name:CNN2
P05997	gene_name:COL5A2
O75390	gene_name:CS
Q8TAZ6	gene_name:CMTM2
A8MQB3	gene_name:LINC02693
Q8WVH0	gene_name:CPLX3
Q96B23	gene_name:C18orf25
Q8N118	gene_name:CYP4X1
P78524	gene_name:DENND2B
Q8IWF6	gene_name:DENND6A
Q9GZR7	gene_name:DDX24
Q96FC9	gene_name:DDX11
Q9P1J3	gene_name:DHRS4-AS1
Q9NP97	gene_name:DYNLRB1
Q8N4W6	gene_name:DNAJC22
Q9NX36	gene_name:DNAJC28
P56178	gene_name:DLX5
Q96F81	gene_name:DISP1
P0DPQ6	gene_name:DDIT3
Q96PT4	gene_name:DUX3
Q07864	gene_name:POLE
Q99607	gene_name:ELF4
P29320	gene_name:EPHA3
Q6UW88	gene_name:EPGN
P54760	gene_name:EPHB4
Q5MY95	gene_name:ENTPD8
Q7Z2Z2	gene_name:EFL1
Q6IN97	gene_name:FRMPD2B
P04406	gene_name:GAPDH
Q9ULV1	gene_name:FZD4
Q75VX8	gene_name:GAREM2
Q14435	gene_name:GALNT3
P14136	gene_name:GFAP
P27539	gene_name:GDF1
Q14397	gene_name:GCKR
Q8NBF1	gene_name:GLIS1
Q5U4N7	gene_name:GDF5-AS1
Q9HAV0	gene_name:GNB4
P34897	gene_name:SHMT2
P28676	gene_name:GCA
Q08379	gene_name:GOLGA2
Q9BQQ3	gene_name:GORASP1
A6NCC3	gene_name:GOLGA8O
A8MTJ3	gene_name:GNAT3
Q6PRD1	gene_name:GPR179
Q9HCN4	gene_name:GPN1
P84243	gene_name:H3-3A
Q02747	gene_name:GUCA2A
Q6L8H2	gene_name:KRTAP5-3
Q6XYB7	gene_name:LBX2
P01772	gene_name:IGHV3-33
Q9Y305	gene_name:ACOT9
P21399	gene_name:ACO1
Q99798	gene_name:ACO2
Q04844	gene_name:CHRNE
Q8N0Z2	gene_name:ABRA
P28335	gene_name:HTR2C
U3KPV4	gene_name:A3GALT2
Q96P47	gene_name:AGAP3
Q9Y2J4	gene_name:AMOTL2
P59780	gene_name:AP3S2
Q9NPF8	gene_name:ADAP2
Q86SQ3	gene_name:ADGRE4P
Q96N21	gene_name:TEPSIN
Q9H6U8	gene_name:ALG9
Q9H1A4	gene_name:ANAPC1
Q9P0K1	gene_name:ADAM22
A6NCL7	gene_name:ANKRD33B
A2A2Z9	gene_name:ANKRD18B
O15033	gene_name:AREL1
A1IGU5	gene_name:ARHGEF37
P01160	gene_name:NPPA
Q7Z449	gene_name:CYP2U1
Q9H4W6	gene_name:EBF3
P22792	gene_name:CPN2
Q9BQW3	gene_name:EBF4
Q8TBR5	gene_name:CIRBP-AS1
Q9UBG3	gene_name:CRNN
A6NEN9	gene_name:CXorf65
P48165	gene_name:GJA8
Q6PEY0	gene_name:GJB7
Q53GD3	gene_name:SLC44A4
A6NGU7	gene_name:LINC01546
Q9HCG8	gene_name:CWC22
Q7L9B9	gene_name:EEPD1
O60469	gene_name:DSCAM
O94919	gene_name:ENDOD1
P16452	gene_name:EPB42
P0DPD7	gene_name:EEF1AKMT4
P52799	gene_name:EFNB2
Q96DF8	gene_name:ESS2
Q15768	gene_name:EFNB3
Q9NQ30	gene_name:ESM1
D6RGX4	gene_name:FAM90A26
Q9NZY2	gene_name:FAM30A
O75460	gene_name:ERN1
Q14289	gene_name:PTK2B
Q53R41	gene_name:FASTKD1
Q6ZT52	gene_name:FAM43B
Q6ZN32	gene_name:ETV3L
Q9Y5Y3	gene_name:GPR45
Q14CZ7	gene_name:FASTKD3
Q92817	gene_name:EVPL
Q8IZT9	gene_name:FAM9C
Q96KP1	gene_name:EXOC2
Q9NPI8	gene_name:FANCF
O00471	gene_name:EXOC5
Q8NFI4	gene_name:ST13P5
Q9NRY5	gene_name:FAM114A2
Q9BQ89	gene_name:FAM110A
P46095	gene_name:GPR6
Q13868	gene_name:EXOSC2
Q5T036	gene_name:FAM120AOS
A6NHQ4	gene_name:EPOP
Q86V42	gene_name:FAM124A
Q96B26	gene_name:EXOSC8
Q6UXP7	gene_name:FAM151B
Q9NSI2	gene_name:FAM207A
Q06265	gene_name:EXOSC9
P0C875	gene_name:FAM228B
Q6J272	gene_name:FAM166A
Q16877	gene_name:PFKFB4
A0A1B0GVK7	gene_name:FAM240A
Q99502	gene_name:EYA1
Q9Y324	gene_name:FCF1
Q01740	gene_name:FMO1
Q7L513	gene_name:FCRLA
Q6PIJ6	gene_name:FBXO38
Q8TB52	gene_name:FBXO30
B3EWG6	gene_name:FAM25G
Q9BSK4	gene_name:FEM1A
Q9UKA1	gene_name:FBXL5
Q10981	gene_name:FUT2
P19526	gene_name:FUT1
Q6UWH4	gene_name:GASK1B
Q96DB9	gene_name:FXYD5
O43716	gene_name:GATC
Q4V326	gene_name:GAGE2E
P25090	gene_name:FPR2
P30793	gene_name:GCH1
P0DPK2	gene_name:H3Y1
O60381	gene_name:HBP1
Q06136	gene_name:KDSR
Q14520	gene_name:HABP2
P51858	gene_name:HDGF
Q96QV6	gene_name:H2AC1
Q8TDQ0	gene_name:HAVCR2
Q68CZ6	gene_name:HAUS3
O60229	gene_name:KALRN
Q9H422	gene_name:HIPK3
Q6UWX4	gene_name:HHIPL2
Q96JK4	gene_name:HHIPL1
Q9Y5R4	gene_name:HEMK1
Q9UM19	gene_name:HPCAL4
Q9Y662	gene_name:HS3ST3B1
Q86WN2	gene_name:IFNE
P16871	gene_name:IL7R
O14879	gene_name:IFIT3
Q14116	gene_name:IL18
P80217	gene_name:IFI35
P14778	gene_name:IL1R1
Q9NZH7	gene_name:IL36B
Q17R60	gene_name:IMPG1
Q5VWK5	gene_name:IL23R
P0CG04	gene_name:IGLC1
Q9UBH0	gene_name:IL36RN
P12268	gene_name:IMPDH2
Q8N6P7	gene_name:IL22RA1
Q14197	gene_name:MRPL58
Q02535	gene_name:ID3
P35475	gene_name:IDUA
P24592	gene_name:IGFBP6
P31273	gene_name:HOXC8
Q9HBG6	gene_name:IFT122
P50213	gene_name:IDH3A
Q92551	gene_name:IP6K1
Q96PC2	gene_name:IP6K3
Q6ZU52	gene_name:KIAA0408
Q8N9B5	gene_name:JMY
Q15040	gene_name:JOSD1
Q15067	gene_name:ACOX1
O96019	gene_name:ACTL6A
Q96SE0	gene_name:ABHD1
P08758	gene_name:ANXA5
O43186	gene_name:CRX
Q10570	gene_name:CPSF1
Q9BUF7	gene_name:CRB3
P0C5K7	gene_name:CT62
A6NIU2	gene_name:LINC01549
P78310	gene_name:CXADR
P36382	gene_name:GJA5
O60931	gene_name:CTNS
Q8WY07	gene_name:SLC7A3
P52569	gene_name:SLC7A2
Q5T442	gene_name:GJC2
Q8N4M1	gene_name:SLC44A3
P21291	gene_name:CSRP1
Q96S65	gene_name:CSRNP1
Q96CG8	gene_name:CTHRC1
P0CZ25	gene_name:DNAH10OS
P08174	gene_name:CD55
A0PJW8	gene_name:DAPL1
Q6P3S1	gene_name:DENND1B
Q8TCE6	gene_name:DENND10
Q8N8Z6	gene_name:DCBLD1
Q08345	gene_name:DDR1
Q7L2E3	gene_name:DHX30
Q96MA1	gene_name:DMRTB1
Q8WXX5	gene_name:DNAJC9
O60610	gene_name:DIAPH1
Q96BY6	gene_name:DOCK10
Q9Y238	gene_name:DLEC1
Q9UNQ2	gene_name:DIMT1
Q6P3W2	gene_name:DNAJC24
Q9UBU2	gene_name:DKK2
Q96GE9	gene_name:DMAC1
P0CJ87	gene_name:DUX4L4
A0A1W2PPF3	gene_name:DUXB
P13929	gene_name:ENO3
Q9Y5Q0	gene_name:FADS3
Q8N9I5	gene_name:FADS6
Q13216	gene_name:ERCC8
Q96KD3	gene_name:FAM71F1
Q96RQ1	gene_name:ERGIC2
Q8N9W8	gene_name:FAM71D
P98173	gene_name:FAM3A
Q9UK22	gene_name:FBXO2
Q14512	gene_name:FGFBP1
Q9GZV9	gene_name:FGF23
Q9NSA1	gene_name:FGF21
A0PJY2	gene_name:FEZF1
P10767	gene_name:FGF6
Q9BXR6	gene_name:CFHR5
Q8TAK5	gene_name:GABPB2
P35637	gene_name:FUS
O75293	gene_name:GADD45B
Q9Y2I7	gene_name:PIKFYVE
Q9H461	gene_name:FZD8
O00409	gene_name:FOXN3
O94915	gene_name:FRYL
Q9BZS1	gene_name:FOXP3
Q16658	gene_name:FSCN1
P34059	gene_name:GALNS
O60318	gene_name:MCM3AP
Q10471	gene_name:GALNT2
Q9H2C0	gene_name:GAN
Q9H3K2	gene_name:GHITM
H0YKK7	gene_name:GOLGA6L19
P55040	gene_name:GEM
P63218	gene_name:GNG5
Q9HCC8	gene_name:GDPD2
P39905	gene_name:GDNF
Q9H8Y8	gene_name:GORASP2
Q14344	gene_name:GNA13
Q9H9Y4	gene_name:GPN2
O75388	gene_name:GPR32
Q5JQS6	gene_name:GCSAML
A4D1E9	gene_name:GTPBP10
P13807	gene_name:GYS1
Q5JVS0	gene_name:HABP4
Q9BX68	gene_name:HINT2
Q9UBX0	gene_name:HESX1
Q969F9	gene_name:HPS3
P31277	gene_name:HOXD11
P14653	gene_name:HOXB1
P31276	gene_name:HOXC13
A0A0J9YX35	gene_name:IGHV3-64D
O14792	gene_name:HS3ST1
Q96JZ2	gene_name:HSH2D
Q9BPY8	gene_name:HOPX
P04035	gene_name:HMGCR
P01571	gene_name:IFNA17
P01568	gene_name:IFNA21
Q13325	gene_name:IFIT5
Q6PI98	gene_name:INO80C
P14784	gene_name:IL2RB
Q86VG3	gene_name:IFTAP
P01591	gene_name:JCHAIN
P05019	gene_name:IGF1
P52333	gene_name:JAK3
P06756	gene_name:ITGAV
P12035	gene_name:KRT3
Q15825	gene_name:CHRNA6
P02749	gene_name:APOH
Q6VUC0	gene_name:TFAP2E
Q9P241	gene_name:ATP10D
C9JJ37	gene_name:BTBD19
Q7KYR7	gene_name:BTN2A1
A8MTZ0	gene_name:BBIP1
Q53S33	gene_name:BOLA3
P47710	gene_name:CSN1S1
Q8IVL8	gene_name:CPO
O00626	gene_name:CCL22
O43633	gene_name:CHMP2A
Q9Y258	gene_name:CCL26
Q96FZ7	gene_name:CHMP6
Q8WUX2	gene_name:CHAC2
Q9BWV3	gene_name:CDADC1
Q96MI9	gene_name:AGBL1
O95170	gene_name:CDRT1
Q13231	gene_name:CHIT1
P11836	gene_name:MS4A1
P60953	gene_name:CDC42
Q9H7B7	gene_name:C7orf69
Q8NI28	gene_name:LINC01006
Q49A92	gene_name:C8orf34
Q8N8U2	gene_name:CDYL2
Q8NCQ2	gene_name:CSNK1G2-AS1
Q9UMR7	gene_name:CLEC4A
Q8N910	gene_name:C15orf56
A8TX70	gene_name:COL6A5
Q8IY22	gene_name:CMIP
Q8IZM0	gene_name:CNG1O_HUMAN
Q99828	gene_name:CIB1
Q00610	gene_name:CLTC
Q6UXG3	gene_name:CD300LG
Q6UWR7	gene_name:ENPP6
P15954	gene_name:COX7C
P04798	gene_name:CYP1A1
Q14264	gene_name:ERV3-1
O43768	gene_name:ENSA
Q7L2H7	gene_name:EIF3M
P43897	gene_name:TSFM
B5ME19	gene_name:EIF3CL
P61550	gene_name:ERVS71-1
Q9NYP7	gene_name:ELOVL5
Q9H6Z9	gene_name:EGLN3
B3EWF7	gene_name:EPM2A
P49961	gene_name:ENTPD1
Q5UCC4	gene_name:EMC10
Q96L91	gene_name:EP400
Q6ZR85	gene_name:C17orf107
Q8NE35	gene_name:CPEB3
A2RUQ5	gene_name:C17orf102
P10632	gene_name:CYP2C8
P15509	gene_name:CSF2RA
Q14241	gene_name:ELOA
P54764	gene_name:EPHA4
Q5NDL2	gene_name:EOGT
Q96DE9	gene_name:EOLA2
P52798	gene_name:EFNA4
Q96PS1	gene_name:FANCD2OS
P61579	gene_name:ERVK-25
Q6IPT2	gene_name:FAM71E1
Q6NSI3	gene_name:FAM53A
Q5HYJ3	gene_name:FAM76B
P08709	gene_name:F7
O94868	gene_name:FCHSD2
P68106	gene_name:FKBP1B
P02042	gene_name:HBD
P26885	gene_name:FKBP2
Q8NEZ5	gene_name:FBXO22
Q9BRP7	gene_name:FDXACB1
O60258	gene_name:FGF17
Q92914	gene_name:FGF11
Q96LL3	gene_name:FIMP
Q96RP7	gene_name:GAL3ST4
Q8TAE8	gene_name:GADD45GIP1
Q8WWW8	gene_name:GAB3
Q96AE4	gene_name:FUBP1
P51116	gene_name:FXR2
P55318	gene_name:FOXA3
P43694	gene_name:GATA4
Q5JY77	gene_name:GPRASP1
Q9C009	gene_name:FOXQ1
Q9H1K4	gene_name:SLC25A18
O14793	gene_name:MSTN
Q9C0B1	gene_name:FTO
Q9H840	gene_name:GEMIN7
Q02108	gene_name:GUCY1A1
O14893	gene_name:GEMIN2
O00591	gene_name:GABRP
Q96PP9	gene_name:GBP4
O15544	gene_name:LINC01565
P47871	gene_name:GCGR
Q9P1Z3	gene_name:HCN3
Q6EKJ0	gene_name:GTF2IRD2B
P49915	gene_name:GMPS
Q16772	gene_name:GSTA3
P08263	gene_name:GSTA1
Q99878	gene_name:H2AC14
Q6Y1H2	gene_name:HACD2
Q13255	gene_name:GRM1
Q13003	gene_name:GRIK3
P0CG29	gene_name:GSTT2
Q16478	gene_name:GRIK5
Q99075	gene_name:HBEGF
O94992	gene_name:HEXIM1
Q02577	gene_name:NHLH2
P22830	gene_name:FECH
Q8WWQ2	gene_name:HPSE2
Q9BUJ0	gene_name:ABHD14A
P30939	gene_name:HTR1F
P47898	gene_name:HTR5A
P28222	gene_name:HTR1B
P50406	gene_name:HTR6
P62258	gene_name:YWHAE
Q9P0M2	gene_name:AKAP7
P24298	gene_name:GPT
Q6NXT1	gene_name:ANKRD54
Q8WTP8	gene_name:AEN
Q96BT7	gene_name:ALKBH8
Q06481	gene_name:APLP2
O75843	gene_name:AP1G2
Q96BI3	gene_name:APH1A
Q9NVJ2	gene_name:ARL8B
P08133	gene_name:ANXA6
Q6Q788	gene_name:APOA5
P34998	gene_name:CRHR1
Q9BU40	gene_name:CHRDL1
P24462	gene_name:CYP3A7
A0A087X1C5	gene_name:CYP2D7
Q8NEV1	gene_name:CSNK2A3
Q9H0B8	gene_name:CRISPLD2
A6NCJ1	gene_name:C19orf71
Q8N268	gene_name:C20orf197
P14406	gene_name:COX7A2
Q02221	gene_name:COX6A2
Q9Y5B0	gene_name:CTDP1
A6NN92	gene_name:GJE1
Q8IX94	gene_name:CTAGE4
O43927	gene_name:CXCL13
P32302	gene_name:CXCR5
Q6ZN68	gene_name:DPY19L2P2
